type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-04-17 18:09:04.867,6.38458500,-75.46061833,3.70,1353.636,22.964,0.039,60,15,32,20230417-130904,GPS Logger: 20230417-130904 - Viaje 6
T,2023-04-17 18:09:05.867,6.38458000,-75.46061667,3.20,1355.536,22.964,0.088,197,17,32,,
T,2023-04-17 18:09:06.868,6.38457333,-75.46059167,2.80,1356.936,22.964,0.024,199,18,32,,
T,2023-04-17 18:09:07.870,6.38457667,-75.46058167,2.40,1357.036,22.964,0.082,330,17,32,,
T,2023-04-17 18:09:08.871,6.38458667,-75.46057833,2.10,1355.536,22.964,0.049,312,18,32,,
T,2023-04-17 18:09:10,6.38459167,-75.46058333,2.00,1356.036,22.964,0.053,251,19,32,,
T,2023-04-17 18:09:11,6.38459500,-75.46059500,1.90,1356.736,22.964,0.122,276,19,32,,
T,2023-04-17 18:09:12,6.38459833,-75.46060000,1.90,1357.036,22.964,0.111,303,19,32,,
T,2023-04-17 18:09:13,6.38459833,-75.46060500,1.90,1357.536,22.964,0.267,10,20,32,,
T,2023-04-17 18:09:14,6.38460000,-75.46060500,1.90,1358.136,22.964,0.431,39,21,32,,
T,2023-04-17 18:09:15,6.38460167,-75.46061000,1.80,1358.636,22.964,0.177,1,21,32,,
T,2023-04-17 18:09:16,6.38460167,-75.46061500,1.80,1358.936,22.964,0.106,337,20,32,,
T,2023-04-17 18:09:17,6.38460333,-75.46061667,1.70,1359.236,22.964,0.120,356,19,32,,
T,2023-04-17 18:09:18,6.38460500,-75.46061833,1.70,1359.236,22.964,0.183,1,21,32,,
T,2023-04-17 18:09:19,6.38460667,-75.46061833,1.80,1359.236,22.964,0.152,358,21,32,,
T,2023-04-17 18:09:20,6.38460833,-75.46061833,1.80,1359.436,22.964,0.120,25,22,32,,
T,2023-04-17 18:09:21,6.38460667,-75.46061833,1.80,1359.336,22.964,0.089,44,21,32,,
T,2023-04-17 18:09:22,6.38460667,-75.46062000,1.80,1359.336,22.964,0.198,275,21,32,,
T,2023-04-17 18:09:23,6.38460833,-75.46062333,1.90,1359.336,22.964,0.290,282,20,32,,
T,2023-04-17 18:09:24,6.38461167,-75.46063500,2.00,1359.536,22.964,0.335,294,19,32,,
T,2023-04-17 18:09:25,6.38461333,-75.46063833,2.20,1359.636,22.964,0.375,119,18,32,,
T,2023-04-17 18:09:26,6.38461167,-75.46063000,2.20,1359.536,22.964,0.380,87,19,32,,
T,2023-04-17 18:09:27,6.38461333,-75.46063167,2.10,1359.536,22.964,0.389,293,19,32,,
T,2023-04-17 18:09:28,6.38461333,-75.46063333,2.10,1359.636,22.964,0.419,169,19,32,,
T,2023-04-17 18:09:29,6.38460667,-75.46063167,2.20,1359.936,22.964,0.527,128,19,32,,
T,2023-04-17 18:09:30,6.38459167,-75.46062333,2.10,1359.836,22.964,0.716,124,20,32,,
T,2023-04-17 18:09:31,6.38457167,-75.46060000,2.00,1359.836,22.964,0.947,138,20,32,,
T,2023-04-17 18:09:32,6.38455000,-75.46058333,2.10,1359.636,22.964,1.204,142,20,32,,
T,2023-04-17 18:09:33,6.38452500,-75.46057000,2.00,1359.836,22.964,1.337,143,20,32,,
T,2023-04-17 18:09:34,6.38450667,-75.46055500,2.10,1359.836,22.964,0.000,,19,32,,
T,2023-04-17 18:09:35,6.38449500,-75.46054333,2.40,1359.736,22.964,0.000,,16,32,,
T,2023-04-17 18:09:36,6.38448500,-75.46053667,2.70,1359.836,22.964,0.000,,15,32,,
T,2023-04-17 18:09:37,6.38446833,-75.46053000,2.90,1359.836,22.964,0.000,,13,32,,
T,2023-04-17 18:09:38,6.38444500,-75.46051500,3.20,1359.636,22.964,0.000,,12,32,,
T,2023-04-17 18:09:39,6.38442833,-75.46052333,3.50,1359.636,22.964,1.900,182,8,31,,
T,2023-04-17 18:09:40,6.38440667,-75.46053333,3.90,1359.636,22.964,0.000,,6,31,,
T,2023-04-17 18:09:41,6.38440167,-75.46055333,4.30,1359.636,22.964,0.000,,5,31,,
T,2023-04-17 18:09:42,6.38438167,-75.46056500,4.70,1359.736,22.964,0.000,,4,31,,
T,2023-04-17 18:09:43,6.38436667,-75.46059167,5.00,1359.736,22.964,0.000,,4,31,,
T,2023-04-17 18:09:44,6.38436167,-75.46062833,5.30,1359.736,22.964,0.000,,5,32,,
T,2023-04-17 18:09:45,6.38434000,-75.46081667,5.20,1359.734,22.966,0.000,,8,32,,
T,2023-04-17 18:09:46,6.38434833,-75.46098000,5.20,1359.833,22.967,0.000,,10,32,,
T,2023-04-17 18:09:47,6.38434167,-75.46122667,5.00,1359.632,22.968,0.000,,10,32,,
T,2023-04-17 18:09:48,6.38435500,-75.46141167,4.90,1359.631,22.969,0.000,,12,32,,
T,2023-04-17 18:09:49,6.38438167,-75.46162833,4.40,1360.630,22.970,14.059,270,10,32,,
T,2023-04-17 18:09:50,6.38439833,-75.46176167,4.40,1360.829,22.971,13.729,271,10,31,,
T,2023-04-17 18:09:51,6.38438500,-75.46192167,4.30,1360.928,22.972,14.040,269,11,31,,
T,2023-04-17 18:09:52,6.38437333,-75.46207667,4.40,1361.327,22.973,14.726,269,8,31,,
T,2023-04-17 18:09:53,6.38435667,-75.46224667,4.40,1362.526,22.974,15.413,268,8,32,,
T,2023-04-17 18:09:54,6.38435333,-75.46239833,4.50,1362.725,22.975,15.716,270,8,32,,
T,2023-04-17 18:09:55,6.38436167,-75.46255167,4.10,1362.024,22.976,15.756,271,10,32,,
T,2023-04-17 18:09:56,6.38438167,-75.46271000,4.00,1361.923,22.977,15.942,273,10,32,,
T,2023-04-17 18:09:57,6.38440000,-75.46288333,3.90,1362.522,22.978,17.789,275,10,32,,
T,2023-04-17 18:09:58,6.38442333,-75.46305333,4.00,1363.321,22.979,17.822,276,10,32,,
T,2023-04-17 18:09:59,6.38445333,-75.46323167,4.00,1364.720,22.980,18.587,278,11,31,,
T,2023-04-17 18:10:00,6.38447167,-75.46340167,4.20,1365.219,22.981,18.690,277,9,32,,
T,2023-04-17 18:10:01,6.38449667,-75.46356833,4.40,1365.318,22.982,18.493,279,9,32,,
T,2023-04-17 18:10:02,6.38452000,-75.46373667,4.50,1366.017,22.983,18.581,277,9,32,,
T,2023-04-17 18:10:03,6.38453000,-75.46389833,4.50,1366.516,22.984,18.564,277,9,32,,
T,2023-04-17 18:10:04,6.38454167,-75.46406500,4.60,1366.715,22.985,18.553,276,8,32,,
T,2023-04-17 18:10:05,6.38454500,-75.46422667,4.80,1367.214,22.986,18.322,273,8,32,,
T,2023-04-17 18:10:06,6.38455000,-75.46438833,4.90,1367.713,22.987,18.070,271,7,32,,
T,2023-04-17 18:10:07,6.38454167,-75.46454667,5.00,1368.112,22.988,17.963,270,7,31,,
T,2023-04-17 18:10:08,6.38452167,-75.46470333,5.20,1368.611,22.989,18.052,268,6,31,,
T,2023-04-17 18:10:09,6.38451500,-75.46486333,5.40,1368.810,22.990,18.044,268,5,31,,
T,2023-04-17 18:10:10,6.38450167,-75.46503500,5.70,1369.009,22.991,18.669,266,4,31,,
T,2023-04-17 18:10:11,6.38448833,-75.46520333,6.00,1369.208,22.992,18.703,266,4,31,,
T,2023-04-17 18:10:12,6.38447500,-75.46536667,6.30,1369.507,22.993,18.501,266,5,31,,
T,2023-04-17 18:10:13,6.38445667,-75.46553167,6.60,1369.806,22.994,18.678,265,5,31,,
T,2023-04-17 18:10:14,6.38441500,-75.46567000,6.60,1369.905,22.995,17.643,264,4,31,,
T,2023-04-17 18:10:15,6.38439833,-75.46583000,6.80,1370.204,22.996,17.615,265,5,31,,
T,2023-04-17 18:10:16,6.38437333,-75.46598833,7.00,1370.303,22.997,17.203,267,4,31,,
T,2023-04-17 18:10:17,6.38434333,-75.46614667,7.10,1370.402,22.998,16.915,267,4,31,,
T,2023-04-17 18:10:18,6.38431833,-75.46630000,7.30,1370.601,22.999,16.668,268,4,31,,
T,2023-04-17 18:10:19,6.38429333,-75.46645667,7.50,1370.900,23.000,16.931,268,4,31,,
T,2023-04-17 18:10:20,6.38427333,-75.46661833,7.60,1370.999,23.001,17.277,267,4,31,,
T,2023-04-17 18:10:21,6.38426000,-75.46678000,7.80,1371.198,23.002,17.572,267,4,31,,
T,2023-04-17 18:10:22,6.38425333,-75.46695000,8.00,1371.397,23.003,17.889,267,4,31,,
T,2023-04-17 18:10:23,6.38425333,-75.46712667,8.20,1371.696,23.004,18.244,267,4,31,,
T,2023-04-17 18:10:24,6.38424500,-75.46731667,8.40,1371.895,23.005,18.534,269,4,31,,
T,2023-04-17 18:10:25,6.38424500,-75.46750667,8.50,1372.093,23.007,18.783,270,4,31,,
T,2023-04-17 18:10:26,6.38424000,-75.46770833,8.70,1372.392,23.008,19.398,271,4,31,,
T,2023-04-17 18:10:27,6.38423833,-75.46789667,9.00,1372.591,23.009,19.515,272,4,31,,
T,2023-04-17 18:10:28,6.38426333,-75.46807167,9.00,1372.790,23.010,19.264,274,4,31,,
T,2023-04-17 18:10:29,6.38424333,-75.46824500,9.00,1372.989,23.011,19.039,273,4,31,,
T,2023-04-17 18:10:30,6.38422333,-75.46841500,9.00,1373.188,23.012,18.719,274,4,31,,
T,2023-04-17 18:10:31,6.38420667,-75.46859000,9.00,1373.387,23.013,19.011,273,4,31,,
T,2023-04-17 18:10:32,6.38417833,-75.46875833,8.90,1373.586,23.014,19.182,270,5,32,,
T,2023-04-17 18:10:33,6.38406833,-75.46893167,8.80,1373.784,23.016,19.269,266,8,32,,
T,2023-04-17 18:10:34,6.38402833,-75.46910333,8.60,1374.183,23.017,19.675,263,8,32,,
T,2023-04-17 18:10:35,6.38397000,-75.46928500,8.50,1374.482,23.018,19.643,262,8,32,,
T,2023-04-17 18:10:36,6.38394167,-75.46946500,8.40,1374.481,23.019,19.475,262,7,32,,
T,2023-04-17 18:10:37,6.38382500,-75.46963833,7.50,1374.380,23.020,19.391,261,7,32,,
T,2023-04-17 18:10:38,6.38377833,-75.46981500,7.50,1374.778,23.022,19.410,259,8,32,,
T,2023-04-17 18:10:39,6.38371167,-75.47001000,5.70,1374.877,23.023,19.645,261,10,32,,
T,2023-04-17 18:10:40,6.38367500,-75.47020000,5.30,1374.976,23.024,19.770,260,10,32,,
T,2023-04-17 18:10:41,6.38363667,-75.47039500,4.90,1375.274,23.026,20.028,261,10,32,,
T,2023-04-17 18:10:42,6.38359667,-75.47058333,4.80,1375.973,23.027,20.640,261,10,32,,
T,2023-04-17 18:10:43,6.38356000,-75.47075833,4.60,1376.772,23.028,20.332,262,10,32,,
T,2023-04-17 18:10:44,6.38351167,-75.47094000,4.50,1377.371,23.029,20.110,264,10,32,,
T,2023-04-17 18:10:45,6.38346500,-75.47112667,4.40,1377.070,23.030,20.147,265,10,32,,
T,2023-04-17 18:10:46,6.38343167,-75.47132000,4.40,1377.268,23.032,20.761,265,11,32,,
T,2023-04-17 18:10:47,6.38338000,-75.47151500,4.20,1378.167,23.033,21.027,263,13,32,,
T,2023-04-17 18:10:48,6.38333833,-75.47170333,4.20,1378.666,23.034,20.834,261,13,32,,
T,2023-04-17 18:10:49,6.38327167,-75.47188167,4.10,1379.065,23.035,20.616,258,13,32,,
T,2023-04-17 18:10:50,6.38321333,-75.47204500,4.00,1379.563,23.037,20.638,257,13,32,,
T,2023-04-17 18:10:51,6.38315667,-75.47221833,4.00,1380.062,23.038,20.624,255,11,32,,
T,2023-04-17 18:10:52,6.38309667,-75.47239167,3.90,1379.861,23.039,21.169,253,10,32,,
T,2023-04-17 18:10:53,6.38303833,-75.47256500,3.90,1379.460,23.040,21.200,251,10,32,,
T,2023-04-17 18:10:54,6.38296333,-75.47275167,3.90,1382.259,23.041,21.233,249,12,32,,
T,2023-04-17 18:10:55,6.38288500,-75.47294167,3.90,1383.857,23.043,21.511,249,13,32,,
T,2023-04-17 18:10:56,6.38281333,-75.47312167,4.00,1384.056,23.044,21.281,249,12,32,,
T,2023-04-17 18:10:57,6.38274833,-75.47329833,3.90,1384.355,23.045,20.577,250,12,32,,
T,2023-04-17 18:10:58,6.38268000,-75.47347500,4.00,1384.754,23.046,20.143,250,12,32,,
T,2023-04-17 18:10:59,6.38259333,-75.47366333,3.90,1385.452,23.048,20.181,253,11,32,,
T,2023-04-17 18:11:00,6.38253333,-75.47384167,3.90,1385.151,23.049,19.551,254,12,32,,
T,2023-04-17 18:11:01,6.38244833,-75.47404833,3.90,1385.349,23.051,19.657,255,11,32,,
T,2023-04-17 18:11:02,6.38240833,-75.47423000,3.80,1385.348,23.052,19.690,257,12,32,,
T,2023-04-17 18:11:03,6.38228333,-75.47445167,3.30,1390.547,23.053,19.999,256,12,32,,
T,2023-04-17 18:11:04,6.38220167,-75.47465833,3.10,1393.245,23.055,20.161,257,13,32,,
T,2023-04-17 18:11:05,6.38215500,-75.47484333,3.00,1393.744,23.056,20.427,259,13,32,,
T,2023-04-17 18:11:06,6.38210333,-75.47504167,3.00,1394.143,23.057,20.467,259,13,32,,
T,2023-04-17 18:11:07,6.38208000,-75.47522667,3.00,1394.441,23.059,20.656,259,14,32,,
T,2023-04-17 18:11:08,6.38204833,-75.47541333,3.00,1394.540,23.060,20.425,259,14,32,,
T,2023-04-17 18:11:09,6.38201833,-75.47559167,3.10,1394.639,23.061,20.565,259,14,32,,
T,2023-04-17 18:11:10,6.38197333,-75.47576000,3.10,1394.038,23.062,20.457,258,13,32,,
T,2023-04-17 18:11:11,6.38192500,-75.47594167,3.20,1395.137,23.063,20.305,256,13,32,,
T,2023-04-17 18:11:12,6.38187500,-75.47611333,3.10,1395.836,23.064,20.203,255,13,32,,
T,2023-04-17 18:11:13,6.38182000,-75.47628500,3.00,1395.934,23.066,20.038,254,13,32,,
T,2023-04-17 18:11:14,6.38175833,-75.47645667,3.00,1395.133,23.067,19.857,252,11,32,,
T,2023-04-17 18:11:15,6.38169500,-75.47662833,3.30,1394.532,23.068,19.846,253,9,31,,
T,2023-04-17 18:11:16,6.38163667,-75.47679833,3.50,1393.831,23.069,19.827,253,9,31,,
T,2023-04-17 18:11:17,6.38158500,-75.47697833,3.50,1393.030,23.070,20.309,253,9,31,,
T,2023-04-17 18:11:18,6.38152500,-75.47715000,3.50,1392.228,23.072,19.973,253,7,31,,
T,2023-04-17 18:11:19,6.38147167,-75.47732833,3.60,1391.927,23.073,20.071,254,7,31,,
T,2023-04-17 18:11:20,6.38142167,-75.47750333,3.40,1386.426,23.074,20.233,255,7,32,,
T,2023-04-17 18:11:21,6.38138000,-75.47769167,3.50,1386.925,23.075,20.343,256,7,32,,
T,2023-04-17 18:11:22,6.38134167,-75.47787833,3.70,1387.224,23.076,20.423,258,7,32,,
T,2023-04-17 18:11:23,6.38131500,-75.47805833,3.90,1387.522,23.078,20.110,259,8,32,,
T,2023-04-17 18:11:24,6.38129500,-75.47824333,4.00,1387.721,23.079,20.126,261,8,32,,
T,2023-04-17 18:11:25,6.38127167,-75.47842833,4.20,1387.820,23.080,20.100,262,6,32,,
T,2023-04-17 18:11:26,6.38124000,-75.47859833,4.40,1387.819,23.081,19.590,261,6,31,,
T,2023-04-17 18:11:27,6.38121667,-75.47877500,4.40,1387.818,23.082,19.473,262,6,31,,
T,2023-04-17 18:11:28,6.38120167,-75.47892000,4.40,1388.717,23.083,18.587,263,6,32,,
T,2023-04-17 18:11:29,6.38120000,-75.47908000,4.30,1389.916,23.084,18.559,264,6,32,,
T,2023-04-17 18:11:30,6.38121500,-75.47926833,4.10,1390.615,23.085,19.295,267,6,32,,
T,2023-04-17 18:11:31,6.38122333,-75.47946667,4.00,1391.814,23.086,20.057,267,6,32,,
T,2023-04-17 18:11:32,6.38122167,-75.47966667,3.90,1393.012,23.088,20.759,267,7,32,,
T,2023-04-17 18:11:33,6.38122000,-75.47986833,3.80,1394.311,23.089,21.197,268,7,32,,
T,2023-04-17 18:11:34,6.38121667,-75.48011667,3.50,1401.710,23.090,21.495,269,8,32,,
T,2023-04-17 18:11:35,6.38121500,-75.48035500,3.40,1409.308,23.092,21.796,268,9,32,,
T,2023-04-17 18:11:36,6.38121167,-75.48057167,3.30,1413.007,23.093,22.113,268,9,32,,
T,2023-04-17 18:11:37,6.38120000,-75.48076500,3.30,1413.406,23.094,21.944,267,7,32,,
T,2023-04-17 18:11:38,6.38119167,-75.48096000,3.40,1413.705,23.095,21.621,267,8,32,,
T,2023-04-17 18:11:39,6.38118333,-75.48114500,3.50,1414.803,23.097,21.036,268,9,32,,
T,2023-04-17 18:11:40,6.38116833,-75.48132500,3.20,1418.502,23.098,20.859,268,10,32,,
T,2023-04-17 18:11:41,6.38115167,-75.48151000,3.30,1418.901,23.099,20.579,266,10,32,,
T,2023-04-17 18:11:42,6.38113333,-75.48168833,3.40,1419.200,23.100,20.611,265,11,32,,
T,2023-04-17 18:11:43,6.38110167,-75.48186833,3.50,1419.599,23.101,20.458,263,11,32,,
T,2023-04-17 18:11:44,6.38106333,-75.48204667,3.50,1419.998,23.102,20.125,262,10,32,,
T,2023-04-17 18:11:45,6.38104333,-75.48222000,3.80,1419.797,23.103,21.083,256,11,32,,
T,2023-04-17 18:11:46,6.38095167,-75.48237833,3.80,1418.395,23.105,20.519,246,10,32,,
T,2023-04-17 18:11:47,6.38084667,-75.48252000,3.80,1418.594,23.106,19.563,240,9,31,,
T,2023-04-17 18:11:48,6.38074333,-75.48265333,3.80,1417.893,23.107,19.408,237,10,32,,
T,2023-04-17 18:11:49,6.38064000,-75.48279500,3.80,1417.392,23.108,19.564,238,10,32,,
T,2023-04-17 18:11:50,6.38053333,-75.48294833,3.70,1417.191,23.109,19.346,237,11,32,,
T,2023-04-17 18:11:51,6.38042333,-75.48310000,3.60,1416.390,23.110,19.861,237,12,32,,
T,2023-04-17 18:11:52,6.38030833,-75.48325833,3.50,1417.789,23.111,20.289,238,12,32,,
T,2023-04-17 18:11:53,6.38019333,-75.48342333,3.50,1419.387,23.113,20.403,241,12,32,,
T,2023-04-17 18:11:54,6.38010167,-75.48359167,3.50,1420.886,23.114,20.404,244,12,32,,
T,2023-04-17 18:11:55,6.38001167,-75.48375833,3.60,1422.585,23.115,20.422,245,10,32,,
T,2023-04-17 18:11:56,6.37993333,-75.48391500,3.70,1424.984,23.116,20.339,246,10,32,,
T,2023-04-17 18:11:57,6.37988000,-75.48408667,3.70,1426.883,23.117,20.308,249,9,32,,
T,2023-04-17 18:11:58,6.37982167,-75.48425167,3.60,1429.181,23.119,20.144,249,9,32,,
T,2023-04-17 18:11:59,6.37976500,-75.48442333,3.50,1430.680,23.120,20.281,249,9,32,,
T,2023-04-17 18:12:00,6.37971667,-75.48459667,3.50,1433.079,23.121,20.187,251,8,32,,
T,2023-04-17 18:12:01,6.37965500,-75.48477667,3.40,1433.478,23.122,20.102,251,11,32,,
T,2023-04-17 18:12:02,6.37958167,-75.48493833,3.20,1443.877,23.123,20.103,251,13,32,,
T,2023-04-17 18:12:03,6.37953167,-75.48510167,3.00,1444.076,23.124,20.094,252,11,32,,
T,2023-04-17 18:12:04,6.37947000,-75.48526000,3.10,1443.974,23.126,20.040,248,13,32,,
T,2023-04-17 18:12:05,6.37940667,-75.48542333,3.20,1444.373,23.127,19.861,246,13,32,,
T,2023-04-17 18:12:06,6.37934167,-75.48558667,3.30,1445.072,23.128,19.963,244,12,32,,
T,2023-04-17 18:12:07,6.37926500,-75.48574000,3.40,1445.471,23.129,19.765,242,9,32,,
T,2023-04-17 18:12:08,6.37917000,-75.48589167,3.40,1446.370,23.130,19.551,239,9,32,,
T,2023-04-17 18:12:09,6.37906667,-75.48605333,3.30,1448.469,23.131,20.154,238,11,32,,
T,2023-04-17 18:12:10,6.37896833,-75.48620667,3.50,1448.568,23.132,20.290,236,13,32,,
T,2023-04-17 18:12:11,6.37883667,-75.48635500,3.60,1448.466,23.134,20.436,233,9,32,,
T,2023-04-17 18:12:12,6.37869833,-75.48648833,3.60,1448.365,23.135,19.988,230,9,32,,
T,2023-04-17 18:12:13,6.37856833,-75.48662167,3.60,1448.564,23.136,20.003,230,7,32,,
T,2023-04-17 18:12:14,6.37845500,-75.48675500,3.50,1451.363,23.137,19.444,231,10,32,,
T,2023-04-17 18:12:15,6.37833333,-75.48688833,3.50,1452.062,23.138,19.698,233,11,32,,
T,2023-04-17 18:12:16,6.37818667,-75.48701667,3.60,1451.461,23.139,19.594,232,12,33,,
T,2023-04-17 18:12:17,6.37805500,-75.48715167,3.50,1451.060,23.140,20.481,233,13,33,,
T,2023-04-17 18:12:18,6.37793833,-75.48730000,3.40,1450.059,23.141,20.780,233,15,33,,
T,2023-04-17 18:12:19,6.37780500,-75.48745500,3.40,1449.457,23.143,21.153,234,15,33,,
T,2023-04-17 18:12:20,6.37768000,-75.48761000,3.40,1448.456,23.144,20.220,233,13,33,,
T,2023-04-17 18:12:21,6.37757500,-75.48776333,3.30,1446.955,23.145,20.834,234,14,33,,
T,2023-04-17 18:12:22,6.37745500,-75.48791333,3.30,1445.654,23.146,21.401,235,14,33,,
T,2023-04-17 18:12:23,6.37733500,-75.48807667,3.20,1445.252,23.148,21.886,235,12,33,,
T,2023-04-17 18:12:24,6.37721667,-75.48823333,3.20,1443.951,23.149,21.897,235,13,33,,
T,2023-04-17 18:12:25,6.37709333,-75.48839500,3.00,1443.150,23.150,21.928,235,13,33,,
T,2023-04-17 18:12:26,6.37698000,-75.48856333,2.90,1442.949,23.151,22.242,235,13,33,,
T,2023-04-17 18:12:27,6.37684500,-75.48870833,2.80,1440.447,23.153,22.239,233,13,33,,
T,2023-04-17 18:12:28,6.37670833,-75.48885333,3.10,1440.146,23.154,21.909,231,12,33,,
T,2023-04-17 18:12:29,6.37658333,-75.48900667,3.40,1439.945,23.155,21.747,229,13,33,,
T,2023-04-17 18:12:30,6.37645000,-75.48917500,3.10,1441.444,23.156,20.701,225,14,33,,
T,2023-04-17 18:12:31,6.37629833,-75.48928167,3.30,1441.443,23.157,20.160,221,13,33,,
T,2023-04-17 18:12:32,6.37616000,-75.48940333,3.80,1441.542,23.158,20.010,216,14,33,,
T,2023-04-17 18:12:33,6.37599167,-75.48948000,3.50,1440.841,23.159,21.875,208,13,33,,
T,2023-04-17 18:12:34,6.37577333,-75.48953667,3.40,1437.440,23.160,22.138,203,12,33,,
T,2023-04-17 18:12:35,6.37556667,-75.48959000,3.30,1433.339,23.161,21.947,201,12,33,,
T,2023-04-17 18:12:36,6.37536667,-75.48965000,3.10,1430.538,23.162,22.077,200,13,33,,
T,2023-04-17 18:12:37,6.37517500,-75.48971167,3.00,1428.838,23.162,22.078,200,13,33,,
T,2023-04-17 18:12:38,6.37498333,-75.48977500,2.90,1426.737,23.163,21.927,200,13,33,,
T,2023-04-17 18:12:39,6.37479000,-75.48983000,3.00,1424.336,23.164,21.944,199,13,33,,
T,2023-04-17 18:12:40,6.37459833,-75.48989667,3.00,1421.235,23.165,21.912,199,13,33,,
T,2023-04-17 18:12:41,6.37441167,-75.48995500,3.00,1419.634,23.166,21.767,199,14,33,,
T,2023-04-17 18:12:42,6.37423000,-75.49001167,3.10,1417.534,23.166,21.770,198,14,33,,
T,2023-04-17 18:12:43,6.37405000,-75.49008167,3.00,1416.233,23.167,21.743,198,14,33,,
T,2023-04-17 18:12:44,6.37386333,-75.49014500,3.00,1415.332,23.168,21.891,195,13,33,,
T,2023-04-17 18:12:45,6.37367000,-75.49020500,3.00,1414.031,23.169,22.649,192,13,33,,
T,2023-04-17 18:12:46,6.37346833,-75.49024500,3.00,1413.030,23.170,22.994,190,14,33,,
T,2023-04-17 18:12:47,6.37325000,-75.49020500,2.90,1423.230,23.170,22.615,186,14,33,,
T,2023-04-17 18:12:48,6.37305333,-75.49022500,2.90,1422.030,23.170,22.655,183,13,33,,
T,2023-04-17 18:12:49,6.37285667,-75.49024167,3.00,1411.029,23.171,22.917,179,13,33,,
T,2023-04-17 18:12:50,6.37264333,-75.49023000,3.10,1409.629,23.171,23.057,178,13,33,,
T,2023-04-17 18:12:51,6.37244333,-75.49021333,2.90,1409.728,23.172,22.582,178,13,33,,
T,2023-04-17 18:12:52,6.37224000,-75.49018833,2.90,1410.928,23.172,22.754,177,13,33,,
T,2023-04-17 18:12:53,6.37203667,-75.49016500,2.90,1407.528,23.172,22.914,176,13,33,,
T,2023-04-17 18:12:54,6.37182833,-75.49014500,2.90,1406.927,23.173,23.238,176,13,33,,
T,2023-04-17 18:12:55,6.37162000,-75.49013000,2.70,1406.227,23.173,22.837,175,14,33,,
T,2023-04-17 18:12:56,6.37141500,-75.49011667,2.70,1406.726,23.174,22.821,175,15,33,,
T,2023-04-17 18:12:57,6.37121333,-75.49009833,2.60,1406.626,23.174,22.283,176,15,33,,
T,2023-04-17 18:12:58,6.37101500,-75.49008167,2.60,1407.426,23.174,22.161,176,16,33,,
T,2023-04-17 18:12:59,6.37081833,-75.49006667,2.60,1408.425,23.175,22.144,177,15,33,,
T,2023-04-17 18:13:00,6.37062167,-75.49005500,2.60,1408.425,23.175,21.955,178,16,33,,
T,2023-04-17 18:13:01,6.37044000,-75.49005500,3.10,1407.324,23.176,21.260,179,16,33,,
T,2023-04-17 18:13:02,6.37024333,-75.49005167,2.90,1406.024,23.176,21.985,182,16,33,,
T,2023-04-17 18:13:03,6.37004667,-75.49006667,2.80,1405.424,23.176,21.643,187,16,33,,
T,2023-04-17 18:13:04,6.36984667,-75.49009167,2.90,1404.123,23.177,21.999,190,14,33,,
T,2023-04-17 18:13:05,6.36964667,-75.49013333,3.00,1403.022,23.178,22.118,194,15,33,,
T,2023-04-17 18:13:06,6.36944667,-75.49017500,2.70,1406.221,23.179,21.976,196,15,33,,
T,2023-04-17 18:13:07,6.36925167,-75.49023667,2.90,1405.621,23.179,22.086,198,15,33,,
T,2023-04-17 18:13:08,6.36905667,-75.49030000,3.00,1404.620,23.180,22.214,199,14,33,,
T,2023-04-17 18:13:09,6.36886333,-75.49036333,3.10,1403.619,23.181,21.964,199,13,33,,
T,2023-04-17 18:13:10,6.36867500,-75.49043000,3.20,1403.218,23.182,22.231,200,10,33,,
T,2023-04-17 18:13:11,6.36849333,-75.49050167,3.20,1402.517,23.183,22.141,200,10,33,,
T,2023-04-17 18:13:12,6.36831500,-75.49057500,3.20,1402.516,23.184,22.146,200,11,33,,
T,2023-04-17 18:13:13,6.36813500,-75.49065167,3.30,1402.316,23.184,21.586,202,10,33,,
T,2023-04-17 18:13:14,6.36796333,-75.49073667,3.40,1402.315,23.185,21.108,205,9,33,,
T,2023-04-17 18:13:15,6.36780167,-75.49083000,3.40,1402.514,23.186,20.973,208,9,33,,
T,2023-04-17 18:13:16,6.36764500,-75.49093500,3.40,1402.513,23.187,21.120,213,8,33,,
T,2023-04-17 18:13:17,6.36749833,-75.49104833,3.40,1402.212,23.188,21.252,216,8,33,,
T,2023-04-17 18:13:18,6.36736000,-75.49117333,3.40,1402.011,23.189,20.960,221,7,33,,
T,2023-04-17 18:13:19,6.36723000,-75.49131000,3.30,1401.210,23.190,21.058,221,11,33,,
T,2023-04-17 18:13:20,6.36708333,-75.49142833,3.30,1400.908,23.192,21.088,220,11,33,,
T,2023-04-17 18:13:21,6.36693667,-75.49155667,3.10,1400.407,23.193,21.786,221,10,33,,
T,2023-04-17 18:13:22,6.36679500,-75.49168333,3.20,1399.506,23.194,21.441,221,10,33,,
T,2023-04-17 18:13:23,6.36663833,-75.49180000,3.10,1399.205,23.195,21.544,219,11,33,,
T,2023-04-17 18:13:24,6.36648167,-75.49192000,2.90,1398.904,23.196,21.673,218,11,33,,
T,2023-04-17 18:13:25,6.36631833,-75.49203667,3.10,1396.803,23.197,21.751,218,11,33,,
T,2023-04-17 18:13:26,6.36616000,-75.49215500,3.10,1395.302,23.198,21.611,218,11,33,,
