type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-11 01:26:48.384,6.33429167,-75.53324333,3.40,1427.510,23.490,0.372,193,13,44,20230510-202648,GPS Logger: 20230510-202648 - Vieje 8
T,2023-05-11 01:26:49.380,6.33429333,-75.53324167,3.10,1421.010,23.490,0.208,358,13,44,,
T,2023-05-11 01:26:51,6.33426667,-75.53318667,3.10,1418.810,23.490,0.386,81,12,44,,
T,2023-05-11 01:26:52,6.33426667,-75.53317833,3.10,1419.610,23.490,0.176,306,13,44,,
T,2023-05-11 01:26:53,6.33427333,-75.53317667,3.10,1419.010,23.490,0.000,,13,44,,
T,2023-05-11 01:26:54,6.33427500,-75.53317167,3.10,1418.710,23.490,0.330,29,14,44,,
T,2023-05-11 01:26:55,6.33427833,-75.53316833,2.90,1417.610,23.490,0.922,320,14,44,,
T,2023-05-11 01:26:56,6.33427667,-75.53317667,2.80,1416.810,23.490,1.012,268,13,44,,
T,2023-05-11 01:26:57,6.33427167,-75.53319167,2.80,1415.110,23.490,3.142,249,13,44,,
T,2023-05-11 01:26:58,6.33426500,-75.53322167,2.80,1417.010,23.490,3.629,254,13,44,,
T,2023-05-11 01:26:59,6.33424500,-75.53325167,2.80,1418.910,23.490,4.246,251,15,44,,
T,2023-05-11 01:27:00,6.33422667,-75.53329167,2.70,1420.309,23.491,4.883,251,15,44,,
T,2023-05-11 01:27:01,6.33420667,-75.53334167,2.70,1421.309,23.491,2.528,245,14,44,,
T,2023-05-11 01:27:02,6.33417167,-75.53339833,2.60,1423.609,23.491,3.174,241,14,44,,
T,2023-05-11 01:27:03,6.33412667,-75.53344167,2.70,1424.108,23.492,3.780,232,14,44,,
T,2023-05-11 01:27:04,6.33408333,-75.53348667,2.60,1424.908,23.492,4.425,230,14,44,,
T,2023-05-11 01:27:05,6.33404000,-75.53354167,2.60,1425.908,23.492,5.008,225,15,44,,
T,2023-05-11 01:27:06,6.33400000,-75.53358833,2.70,1427.007,23.493,5.575,223,14,44,,
T,2023-05-11 01:27:07,6.33396500,-75.53364333,3.00,1427.507,23.493,5.967,237,15,44,,
T,2023-05-11 01:27:08,6.33392833,-75.53369833,2.90,1428.907,23.493,6.353,233,15,44,,
T,2023-05-11 01:27:09,6.33387833,-75.53375500,2.90,1429.706,23.494,6.784,231,15,44,,
T,2023-05-11 01:27:10,6.33382333,-75.53381000,2.90,1430.706,23.494,7.105,231,15,44,,
T,2023-05-11 01:27:11,6.33376500,-75.53386333,3.40,1431.505,23.495,7.206,237,15,44,,
T,2023-05-11 01:27:12,6.33371833,-75.53391333,3.50,1432.205,23.495,7.314,240,13,44,,
T,2023-05-11 01:27:13,6.33368000,-75.53397833,3.50,1432.305,23.495,7.461,244,12,44,,
T,2023-05-11 01:27:14,6.33364500,-75.53406000,3.50,1432.704,23.496,7.677,248,13,44,,
T,2023-05-11 01:27:15,6.33361667,-75.53413667,3.50,1432.604,23.496,7.880,247,15,44,,
T,2023-05-11 01:27:16,6.33359500,-75.53421000,3.00,1432.303,23.497,8.074,251,15,44,,
T,2023-05-11 01:27:17,6.33357000,-75.53429333,2.80,1432.803,23.497,8.223,253,15,44,,
T,2023-05-11 01:27:18,6.33355667,-75.53437167,2.60,1432.602,23.498,8.291,254,15,44,,
T,2023-05-11 01:27:19,6.33354500,-75.53444500,2.50,1432.702,23.498,8.255,258,15,44,,
T,2023-05-11 01:27:20,6.33354000,-75.53451833,2.40,1431.501,23.499,8.230,264,15,44,,
T,2023-05-11 01:27:21,6.33354333,-75.53458833,2.30,1431.201,23.499,7.883,270,15,44,,
T,2023-05-11 01:27:22,6.33357333,-75.53465167,2.30,1431.401,23.499,7.569,284,16,44,,
T,2023-05-11 01:27:23,6.33361500,-75.53471667,2.30,1432.001,23.499,8.014,299,18,44,,
T,2023-05-11 01:27:24,6.33367167,-75.53477500,2.30,1432.300,23.500,8.441,310,18,44,,
T,2023-05-11 01:27:25,6.33373500,-75.53483833,2.30,1432.200,23.500,8.875,313,17,44,,
T,2023-05-11 01:27:26,6.33379667,-75.53490167,2.30,1431.700,23.500,8.317,315,17,44,,
T,2023-05-11 01:27:27,6.33385500,-75.53496000,2.30,1431.300,23.500,8.012,311,17,44,,
T,2023-05-11 01:27:28,6.33390667,-75.53501333,2.20,1431.200,23.500,7.623,310,17,44,,
T,2023-05-11 01:27:29,6.33395500,-75.53506500,2.20,1431.000,23.500,7.189,310,17,44,,
T,2023-05-11 01:27:30,6.33400333,-75.53511333,2.20,1430.699,23.501,7.151,309,17,44,,
T,2023-05-11 01:27:31,6.33404667,-75.53516667,2.20,1430.099,23.501,7.670,306,17,44,,
T,2023-05-11 01:27:32,6.33408833,-75.53522167,2.20,1429.599,23.501,7.702,307,18,44,,
T,2023-05-11 01:27:33,6.33413167,-75.53527667,2.20,1429.199,23.501,7.416,309,16,44,,
T,2023-05-11 01:27:34,6.33416833,-75.53533333,2.30,1428.899,23.501,6.907,301,17,44,,
T,2023-05-11 01:27:35,6.33419000,-75.53539833,2.30,1428.598,23.502,7.044,287,16,44,,
T,2023-05-11 01:27:36,6.33420667,-75.53546167,2.50,1428.398,23.502,6.813,282,16,44,,
T,2023-05-11 01:27:37,6.33421500,-75.53552500,2.60,1428.398,23.502,6.915,275,16,44,,
T,2023-05-11 01:27:38,6.33421167,-75.53558500,2.50,1428.397,23.503,6.936,264,16,44,,
T,2023-05-11 01:27:39,6.33419333,-75.53565167,2.40,1428.297,23.503,6.968,264,16,44,,
T,2023-05-11 01:27:40,6.33417500,-75.53572000,2.30,1428.297,23.503,7.130,264,16,44,,
T,2023-05-11 01:27:41,6.33416667,-75.53578667,2.20,1428.496,23.504,7.591,268,16,44,,
T,2023-05-11 01:27:42,6.33416667,-75.53585667,2.20,1428.396,23.504,7.217,273,16,44,,
T,2023-05-11 01:27:43,6.33416833,-75.53592500,2.30,1428.196,23.504,7.205,270,16,44,,
T,2023-05-11 01:27:44,6.33416833,-75.53598833,2.30,1427.795,23.505,7.063,264,16,44,,
T,2023-05-11 01:27:45,6.33415833,-75.53605833,2.30,1427.595,23.505,7.157,265,17,44,,
T,2023-05-11 01:27:46,6.33415000,-75.53612667,2.20,1427.194,23.506,6.969,268,17,44,,
T,2023-05-11 01:27:47,6.33413500,-75.53619167,2.40,1427.794,23.506,6.727,264,17,44,,
T,2023-05-11 01:27:48,6.33412833,-75.53624667,2.40,1428.794,23.506,6.302,264,17,44,,
T,2023-05-11 01:27:49,6.33412167,-75.53629833,2.40,1430.294,23.506,5.773,268,17,44,,
T,2023-05-11 01:27:50,6.33411833,-75.53634167,2.50,1431.393,23.507,4.784,269,17,44,,
T,2023-05-11 01:27:51,6.33411833,-75.53637167,2.40,1431.893,23.507,4.323,269,17,44,,
T,2023-05-11 01:27:52,6.33410333,-75.53636833,3.00,1430.793,23.507,4.010,274,17,44,,
T,2023-05-11 01:27:53,6.33410500,-75.53637500,2.70,1429.993,23.507,2.564,282,17,44,,
T,2023-05-11 01:27:54,6.33409167,-75.53637333,2.60,1429.193,23.507,2.095,275,17,44,,
T,2023-05-11 01:27:55,6.33409667,-75.53639000,2.50,1428.493,23.507,2.100,276,17,44,,
T,2023-05-11 01:27:56,6.33410000,-75.53640500,2.40,1428.693,23.507,2.121,267,17,44,,
T,2023-05-11 01:27:57,6.33410000,-75.53642833,2.40,1427.993,23.507,2.592,270,19,44,,
T,2023-05-11 01:27:58,6.33409833,-75.53645333,2.30,1428.593,23.507,2.929,263,20,44,,
T,2023-05-11 01:27:59,6.33409333,-75.53648333,2.30,1428.893,23.507,3.524,264,20,44,,
T,2023-05-11 01:28:00,6.33408333,-75.53652333,2.30,1430.292,23.508,4.301,261,21,44,,
T,2023-05-11 01:28:01,6.33407000,-75.53657833,2.30,1430.992,23.508,5.095,265,21,44,,
T,2023-05-11 01:28:02,6.33406167,-75.53663833,2.40,1430.592,23.508,5.786,268,20,44,,
T,2023-05-11 01:28:03,6.33405833,-75.53670500,2.40,1430.391,23.509,6.096,267,19,44,,
T,2023-05-11 01:28:04,6.33404833,-75.53676833,2.50,1430.291,23.509,6.428,266,19,44,,
T,2023-05-11 01:28:05,6.33403833,-75.53682000,2.50,1430.191,23.509,5.843,265,18,44,,
T,2023-05-11 01:28:06,6.33404000,-75.53686500,2.50,1430.490,23.510,4.727,272,18,44,,
T,2023-05-11 01:28:07,6.33404000,-75.53689667,2.50,1430.390,23.510,2.546,276,19,44,,
T,2023-05-11 01:28:08,6.33404167,-75.53691333,2.50,1430.290,23.510,1.277,276,20,44,,
T,2023-05-11 01:28:09,6.33406000,-75.53691500,2.90,1429.390,23.510,1.092,276,21,44,,
T,2023-05-11 01:28:10,6.33406000,-75.53692000,2.70,1429.290,23.510,0.000,,21,44,,
T,2023-05-11 01:28:11,6.33405833,-75.53692500,2.60,1429.390,23.510,0.000,,19,44,,
T,2023-05-11 01:28:12,6.33405333,-75.53692833,2.50,1429.490,23.510,0.000,,20,44,,
T,2023-05-11 01:28:13,6.33405333,-75.53692833,2.40,1429.490,23.510,0.000,,18,44,,
T,2023-05-11 01:28:14,6.33404000,-75.53694833,2.30,1428.890,23.510,0.149,276,18,44,,
T,2023-05-11 01:28:15,6.33403333,-75.53696500,2.20,1428.990,23.510,2.362,239,19,44,,
T,2023-05-11 01:28:16,6.33402500,-75.53698667,2.20,1428.490,23.510,2.887,253,20,44,,
T,2023-05-11 01:28:17,6.33402167,-75.53701500,2.20,1428.390,23.510,2.648,254,20,44,,
T,2023-05-11 01:28:18,6.33401500,-75.53704833,2.20,1428.389,23.511,2.398,249,20,44,,
T,2023-05-11 01:28:19,6.33401000,-75.53708333,2.20,1428.489,23.511,3.108,249,20,44,,
T,2023-05-11 01:28:20,6.33399833,-75.53712167,2.20,1428.389,23.511,3.811,252,20,44,,
T,2023-05-11 01:28:21,6.33398833,-75.53716500,2.20,1428.589,23.511,5.455,249,19,44,,
T,2023-05-11 01:28:22,6.33397333,-75.53722167,2.20,1429.188,23.512,5.933,247,19,44,,
T,2023-05-11 01:28:23,6.33395500,-75.53728000,2.30,1430.088,23.512,6.598,252,18,44,,
T,2023-05-11 01:28:24,6.33393500,-75.53734667,2.40,1431.388,23.512,7.135,256,17,44,,
T,2023-05-11 01:28:25,6.33392000,-75.53740833,2.50,1432.387,23.513,6.043,262,16,44,,
T,2023-05-11 01:28:26,6.33389333,-75.53745167,2.50,1432.387,23.513,5.379,249,14,44,,
T,2023-05-11 01:28:27,6.33386500,-75.53749000,2.60,1432.587,23.513,5.194,244,14,44,,
T,2023-05-11 01:28:28,6.33383833,-75.53753000,2.80,1432.486,23.514,4.189,247,15,44,,
T,2023-05-11 01:28:29,6.33380333,-75.53753833,2.80,1432.386,23.514,2.914,223,18,44,,
T,2023-05-11 01:28:30,6.33377333,-75.53755500,2.70,1432.186,23.514,2.876,216,17,44,,
T,2023-05-11 01:28:31,6.33372667,-75.53755500,2.60,1431.386,23.514,2.970,208,17,44,,
T,2023-05-11 01:28:32,6.33369000,-75.53755167,2.50,1430.886,23.514,2.947,206,16,44,,
T,2023-05-11 01:28:33,6.33366167,-75.53755500,2.50,1430.486,23.514,2.663,214,16,44,,
T,2023-05-11 01:28:34,6.33363333,-75.53756667,2.40,1429.986,23.514,3.166,205,16,44,,
T,2023-05-11 01:28:35,6.33360500,-75.53758000,2.30,1429.586,23.514,3.193,214,17,44,,
T,2023-05-11 01:28:36,6.33358167,-75.53759500,2.30,1429.486,23.514,3.205,218,17,44,,
T,2023-05-11 01:28:37,6.33355833,-75.53761000,2.30,1429.285,23.515,2.959,213,18,44,,
T,2023-05-11 01:28:38,6.33353500,-75.53762667,2.20,1429.285,23.515,3.132,213,18,44,,
T,2023-05-11 01:28:39,6.33351500,-75.53764667,2.10,1429.685,23.515,3.276,210,17,44,,
T,2023-05-11 01:28:40,6.33349167,-75.53766500,2.10,1430.085,23.515,3.450,211,17,44,,
T,2023-05-11 01:28:41,6.33346333,-75.53768167,2.10,1430.285,23.515,3.806,205,18,44,,
T,2023-05-11 01:28:42,6.33342833,-75.53770667,2.10,1430.585,23.515,4.745,211,19,44,,
T,2023-05-11 01:28:43,6.33338833,-75.53773833,2.00,1430.884,23.516,5.497,210,21,44,,
T,2023-05-11 01:28:44,6.33334667,-75.53776167,2.00,1430.084,23.516,5.412,210,21,44,,
T,2023-05-11 01:28:45,6.33330667,-75.53778667,2.00,1429.184,23.516,5.520,214,20,44,,
T,2023-05-11 01:28:46,6.33326667,-75.53782167,2.00,1429.184,23.516,5.395,221,20,44,,
T,2023-05-11 01:28:47,6.33323000,-75.53786500,2.00,1429.483,23.517,5.241,223,21,44,,
T,2023-05-11 01:28:48,6.33319167,-75.53789833,2.00,1430.183,23.517,5.210,220,21,44,,
T,2023-05-11 01:28:49,6.33315167,-75.53792833,2.00,1430.783,23.517,5.190,222,22,44,,
T,2023-05-11 01:28:50,6.33311500,-75.53796333,2.10,1431.483,23.517,5.379,224,22,44,,
T,2023-05-11 01:28:51,6.33307500,-75.53800000,2.00,1432.182,23.518,5.602,223,22,44,,
T,2023-05-11 01:28:52,6.33303500,-75.53803500,2.00,1432.982,23.518,5.619,228,21,44,,
T,2023-05-11 01:28:53,6.33300667,-75.53807333,2.00,1432.782,23.518,5.610,241,20,44,,
T,2023-05-11 01:28:54,6.33298167,-75.53811167,2.00,1433.182,23.518,4.410,248,20,44,,
T,2023-05-11 01:28:55,6.33296000,-75.53813667,2.20,1433.581,23.519,2.964,241,19,44,,
T,2023-05-11 01:28:56,6.33294667,-75.53814000,2.30,1433.481,23.519,1.536,242,19,44,,
T,2023-05-11 01:28:57,6.33293000,-75.53814833,2.30,1433.981,23.519,1.882,236,20,44,,
T,2023-05-11 01:28:58,6.33291333,-75.53816000,2.20,1434.681,23.519,1.891,235,21,44,,
T,2023-05-11 01:28:59,6.33290167,-75.53817333,2.20,1435.181,23.519,1.275,235,21,44,,
T,2023-05-11 01:29:00,6.33288833,-75.53818000,2.20,1435.881,23.519,2.041,214,21,44,,
T,2023-05-11 01:29:01,6.33286667,-75.53819333,2.30,1436.481,23.519,2.732,204,21,44,,
T,2023-05-11 01:29:02,6.33283667,-75.53821667,2.30,1437.081,23.519,3.895,209,21,44,,
T,2023-05-11 01:29:03,6.33280333,-75.53825000,2.30,1437.680,23.520,4.584,212,21,44,,
T,2023-05-11 01:29:04,6.33277167,-75.53828667,2.30,1438.480,23.520,4.792,210,21,44,,
T,2023-05-11 01:29:05,6.33273667,-75.53832500,2.30,1438.480,23.520,4.521,217,21,44,,
T,2023-05-11 01:29:06,6.33270833,-75.53836500,2.30,1438.980,23.520,4.226,222,21,44,,
T,2023-05-11 01:29:07,6.33268167,-75.53839333,2.30,1439.579,23.521,3.775,225,21,44,,
T,2023-05-11 01:29:08,6.33266167,-75.53841833,2.30,1439.979,23.521,4.214,226,21,44,,
T,2023-05-11 01:29:09,6.33263667,-75.53845000,2.20,1440.079,23.521,4.206,229,20,44,,
T,2023-05-11 01:29:10,6.33260500,-75.53848167,2.20,1440.279,23.521,5.413,224,20,44,,
T,2023-05-11 01:29:11,6.33257333,-75.53852500,2.20,1440.678,23.522,5.959,223,19,44,,
T,2023-05-11 01:29:12,6.33253167,-75.53856667,2.30,1440.678,23.522,6.288,225,19,44,,
T,2023-05-11 01:29:13,6.33248333,-75.53861333,2.40,1440.078,23.522,7.264,227,20,44,,
T,2023-05-11 01:29:14,6.33243500,-75.53865833,2.40,1439.877,23.523,7.671,227,19,44,,
T,2023-05-11 01:29:15,6.33237500,-75.53871000,2.30,1439.177,23.523,8.301,227,20,44,,
T,2023-05-11 01:29:16,6.33230833,-75.53876833,2.50,1438.777,23.523,8.640,222,18,44,,
T,2023-05-11 01:29:17,6.33224667,-75.53881833,2.50,1438.976,23.524,8.151,222,18,44,,
T,2023-05-11 01:29:18,6.33219833,-75.53886333,2.60,1439.876,23.524,7.029,223,18,44,,
T,2023-05-11 01:29:19,6.33215833,-75.53889500,2.70,1440.076,23.524,5.553,223,18,44,,
T,2023-05-11 01:29:20,6.33213167,-75.53892000,2.80,1440.075,23.525,4.645,224,17,43,,
T,2023-05-11 01:29:21,6.33212333,-75.53892667,2.70,1440.375,23.525,2.945,227,18,44,,
T,2023-05-11 01:29:22,6.33210667,-75.53894500,2.60,1440.375,23.525,3.443,232,17,44,,
T,2023-05-11 01:29:23,6.33208333,-75.53897667,2.60,1440.275,23.525,4.452,232,16,44,,
T,2023-05-11 01:29:24,6.33205667,-75.53900833,2.50,1440.075,23.525,4.633,232,16,44,,
T,2023-05-11 01:29:25,6.33202667,-75.53904167,2.50,1439.575,23.525,5.061,232,15,44,,
T,2023-05-11 01:29:26,6.33199333,-75.53907833,2.50,1439.674,23.526,5.511,230,15,44,,
T,2023-05-11 01:29:27,6.33196000,-75.53912000,2.50,1439.474,23.526,5.679,233,16,44,,
T,2023-05-11 01:29:28,6.33193167,-75.53917000,2.50,1439.374,23.526,6.300,240,17,44,,
T,2023-05-11 01:29:29,6.33190833,-75.53923167,2.60,1439.073,23.527,6.714,241,17,44,,
T,2023-05-11 01:29:30,6.33186500,-75.53929667,2.70,1438.773,23.527,7.759,237,16,44,,
T,2023-05-11 01:29:31,6.33182000,-75.53936500,2.80,1438.772,23.528,8.004,232,17,44,,
T,2023-05-11 01:29:32,6.33177500,-75.53941500,2.70,1438.572,23.528,6.873,235,19,44,,
T,2023-05-11 01:29:33,6.33173667,-75.53946000,2.70,1438.572,23.528,5.940,236,17,44,,
T,2023-05-11 01:29:34,6.33170000,-75.53950167,2.80,1438.571,23.529,5.654,236,17,44,,
T,2023-05-11 01:29:35,6.33166667,-75.53955167,2.80,1438.871,23.529,5.568,240,17,44,,
T,2023-05-11 01:29:36,6.33163000,-75.53959500,2.70,1438.471,23.529,5.422,239,17,44,,
T,2023-05-11 01:29:37,6.33159333,-75.53963667,2.70,1437.570,23.530,5.217,236,17,44,,
T,2023-05-11 01:29:38,6.33156833,-75.53967333,2.60,1437.370,23.530,4.008,237,17,44,,
T,2023-05-11 01:29:39,6.33155333,-75.53970000,2.50,1437.170,23.530,2.970,238,17,44,,
T,2023-05-11 01:29:40,6.33154000,-75.53971333,2.50,1437.370,23.530,2.012,238,15,44,,
T,2023-05-11 01:29:41,6.33153000,-75.53972667,2.50,1437.670,23.530,1.777,232,15,44,,
T,2023-05-11 01:29:42,6.33151333,-75.53973667,2.60,1437.870,23.530,1.453,232,16,44,,
T,2023-05-11 01:29:43,6.33150833,-75.53974167,2.60,1438.070,23.530,1.148,232,16,44,,
T,2023-05-11 01:29:44,6.33149833,-75.53974833,2.50,1438.670,23.530,1.526,241,16,44,,
T,2023-05-11 01:29:45,6.33148667,-75.53977000,2.40,1438.870,23.530,2.768,241,16,44,,
T,2023-05-11 01:29:46,6.33146833,-75.53979500,2.40,1439.069,23.531,3.703,242,18,44,,
T,2023-05-11 01:29:47,6.33144667,-75.53982667,2.40,1439.169,23.531,4.316,240,18,44,,
T,2023-05-11 01:29:48,6.33141833,-75.53986000,2.50,1439.369,23.531,4.842,237,18,44,,
T,2023-05-11 01:29:49,6.33138333,-75.53990000,2.50,1440.169,23.531,5.206,233,18,44,,
T,2023-05-11 01:29:50,6.33135333,-75.53994500,2.60,1440.568,23.532,5.569,244,18,44,,
T,2023-05-11 01:29:51,6.33132333,-75.53999333,2.70,1441.068,23.532,5.930,247,18,44,,
T,2023-05-11 01:29:52,6.33129833,-75.54004667,2.70,1441.468,23.532,6.196,254,18,44,,
T,2023-05-11 01:29:53,6.33127167,-75.54010833,2.70,1441.767,23.533,5.903,247,17,44,,
T,2023-05-11 01:29:54,6.33125000,-75.54016667,2.70,1441.767,23.533,4.896,248,16,44,,
T,2023-05-11 01:29:55,6.33123333,-75.54021500,2.70,1441.467,23.533,4.304,245,17,44,,
T,2023-05-11 01:29:56,6.33121833,-75.54025167,2.70,1442.066,23.534,3.286,240,16,44,,
T,2023-05-11 01:29:57,6.33120500,-75.54028167,2.60,1441.866,23.534,2.969,233,16,44,,
T,2023-05-11 01:29:58,6.33119000,-75.54030667,2.50,1441.566,23.534,2.955,228,17,44,,
T,2023-05-11 01:29:59,6.33117000,-75.54032167,2.60,1441.366,23.534,2.790,222,17,44,,
T,2023-05-11 01:30:00,6.33114667,-75.54033500,2.60,1441.466,23.534,2.472,220,18,44,,
T,2023-05-11 01:30:01,6.33112667,-75.54035333,2.60,1441.666,23.534,2.775,235,19,44,,
T,2023-05-11 01:30:02,6.33110833,-75.54037000,2.60,1442.166,23.534,2.112,247,19,44,,
T,2023-05-11 01:30:03,6.33109000,-75.54038667,2.50,1443.265,23.535,2.374,235,19,44,,
T,2023-05-11 01:30:04,6.33106500,-75.54041000,2.50,1443.965,23.535,2.997,232,18,44,,
T,2023-05-11 01:30:05,6.33103833,-75.54043500,2.40,1444.365,23.535,3.640,226,18,44,,
T,2023-05-11 01:30:06,6.33101000,-75.54045333,2.50,1445.065,23.535,3.820,229,19,44,,
T,2023-05-11 01:30:07,6.33097667,-75.54047667,2.50,1445.365,23.535,4.132,236,19,44,,
T,2023-05-11 01:30:08,6.33092833,-75.54049833,2.50,1445.064,23.536,4.932,232,20,44,,
T,2023-05-11 01:30:09,6.33088500,-75.54053167,2.40,1445.564,23.536,5.540,230,20,44,,
T,2023-05-11 01:30:10,6.33084167,-75.54056500,2.40,1446.564,23.536,5.657,228,20,44,,
T,2023-05-11 01:30:11,6.33079333,-75.54060333,2.50,1446.864,23.536,6.000,230,19,44,,
T,2023-05-11 01:30:12,6.33074833,-75.54064833,2.40,1447.363,23.537,6.105,235,19,44,,
T,2023-05-11 01:30:13,6.33071000,-75.54069667,2.40,1447.763,23.537,5.892,240,19,44,,
T,2023-05-11 01:30:14,6.33068167,-75.54074333,2.30,1447.963,23.537,5.228,245,19,44,,
T,2023-05-11 01:30:15,6.33066000,-75.54078333,2.40,1448.362,23.538,4.360,243,20,44,,
T,2023-05-11 01:30:16,6.33064333,-75.54081833,2.40,1448.762,23.538,3.680,245,20,44,,
T,2023-05-11 01:30:17,6.33062833,-75.54084167,2.30,1448.962,23.538,2.947,244,20,44,,
T,2023-05-11 01:30:18,6.33062167,-75.54086000,2.30,1449.362,23.538,1.881,244,19,44,,
T,2023-05-11 01:30:19,6.33062333,-75.54087333,2.20,1450.062,23.538,0.000,,18,44,,
T,2023-05-11 01:30:20,6.33062500,-75.54088500,2.20,1450.462,23.538,0.000,,18,44,,
T,2023-05-11 01:30:21,6.33062333,-75.54090167,2.10,1450.862,23.538,1.831,253,19,44,,
T,2023-05-11 01:30:22,6.33061833,-75.54092833,2.10,1451.262,23.538,3.041,254,19,44,,
T,2023-05-11 01:30:23,6.33061333,-75.54097167,2.10,1452.061,23.539,4.425,259,19,44,,
T,2023-05-11 01:30:24,6.33060500,-75.54101667,2.10,1452.661,23.539,4.644,254,19,44,,
T,2023-05-11 01:30:25,6.33059333,-75.54107000,2.20,1453.061,23.539,5.013,257,19,44,,
T,2023-05-11 01:30:26,6.33058500,-75.54112500,2.20,1452.860,23.540,5.250,262,19,44,,
T,2023-05-11 01:30:27,6.33058167,-75.54118333,2.30,1452.660,23.540,5.214,265,19,44,,
T,2023-05-11 01:30:28,6.33057667,-75.54124667,2.40,1452.460,23.540,5.212,260,18,44,,
T,2023-05-11 01:30:29,6.33057000,-75.54130000,2.30,1452.259,23.541,5.352,260,18,44,,
T,2023-05-11 01:30:30,6.33056000,-75.54135500,2.30,1451.959,23.541,5.549,260,19,44,,
T,2023-05-11 01:30:31,6.33055667,-75.54141000,2.30,1451.659,23.541,5.540,264,19,44,,
T,2023-05-11 01:30:32,6.33055833,-75.54147500,2.30,1451.359,23.541,6.715,267,19,44,,
T,2023-05-11 01:30:33,6.33055833,-75.54154667,2.30,1451.058,23.542,7.683,264,18,44,,
T,2023-05-11 01:30:34,6.33056167,-75.54162500,2.20,1450.258,23.542,8.029,268,20,44,,
T,2023-05-11 01:30:35,6.33057000,-75.54170500,2.10,1449.957,23.543,8.046,274,20,44,,
T,2023-05-11 01:30:36,6.33059333,-75.54178167,2.10,1450.057,23.543,8.281,282,20,44,,
T,2023-05-11 01:30:37,6.33063000,-75.54185500,2.10,1450.257,23.543,8.040,290,20,44,,
T,2023-05-11 01:30:38,6.33067833,-75.54191667,2.10,1450.357,23.543,7.851,303,20,44,,
T,2023-05-11 01:30:39,6.33072833,-75.54197667,2.10,1450.656,23.544,8.115,304,20,44,,
T,2023-05-11 01:30:40,6.33078667,-75.54203500,2.10,1451.056,23.544,8.645,308,20,44,,
T,2023-05-11 01:30:41,6.33085167,-75.54209667,2.10,1451.056,23.544,9.135,314,20,44,,
T,2023-05-11 01:30:42,6.33091667,-75.54216000,2.10,1451.256,23.544,9.697,313,20,44,,
T,2023-05-11 01:30:43,6.33098000,-75.54222833,2.10,1451.656,23.544,9.717,307,20,44,,
T,2023-05-11 01:30:44,6.33103333,-75.54229833,2.10,1451.755,23.545,9.181,305,19,44,,
T,2023-05-11 01:30:45,6.33107667,-75.54237333,2.20,1451.655,23.545,8.974,297,20,44,,
T,2023-05-11 01:30:46,6.33111167,-75.54245167,2.20,1451.255,23.545,8.987,292,19,44,,
T,2023-05-11 01:30:47,6.33113667,-75.54253167,2.20,1450.354,23.546,8.623,288,21,44,,
T,2023-05-11 01:30:48,6.33115667,-75.54261667,2.20,1449.354,23.546,9.114,284,20,44,,
T,2023-05-11 01:30:49,6.33117167,-75.54270167,2.20,1448.754,23.546,9.107,281,20,44,,
T,2023-05-11 01:30:50,6.33118333,-75.54279333,2.40,1447.453,23.547,9.430,280,21,44,,
T,2023-05-11 01:30:51,6.33119500,-75.54288167,2.30,1446.153,23.547,9.404,279,21,44,,
T,2023-05-11 01:30:52,6.33119667,-75.54298000,2.40,1445.352,23.548,9.656,278,20,44,,
T,2023-05-11 01:30:53,6.33120333,-75.54306833,2.40,1444.552,23.548,9.357,281,20,44,,
T,2023-05-11 01:30:54,6.33121167,-75.54315667,2.50,1443.451,23.549,9.535,279,20,44,,
T,2023-05-11 01:30:55,6.33121667,-75.54325333,2.50,1443.151,23.549,9.258,277,20,44,,
T,2023-05-11 01:30:56,6.33121667,-75.54334167,2.50,1442.850,23.550,9.141,276,21,44,,
T,2023-05-11 01:30:57,6.33122000,-75.54343167,2.50,1443.050,23.550,9.301,277,21,44,,
T,2023-05-11 01:30:58,6.33122167,-75.54352167,2.60,1443.449,23.551,9.283,275,21,44,,
T,2023-05-11 01:30:59,6.33122500,-75.54360667,2.60,1443.849,23.551,8.777,275,20,44,,
T,2023-05-11 01:31:00,6.33122000,-75.54369167,2.60,1444.049,23.551,9.146,275,20,44,,
T,2023-05-11 01:31:01,6.33122333,-75.54377833,2.40,1444.548,23.552,9.048,274,20,44,,
T,2023-05-11 01:31:02,6.33122500,-75.54386167,2.60,1444.748,23.552,8.372,273,21,44,,
T,2023-05-11 01:31:03,6.33122000,-75.54393833,2.70,1444.347,23.553,8.669,268,20,44,,
T,2023-05-11 01:31:04,6.33120667,-75.54401167,2.70,1444.847,23.553,8.659,266,19,44,,
T,2023-05-11 01:31:05,6.33119333,-75.54408333,2.60,1445.146,23.554,8.074,262,18,44,,
T,2023-05-11 01:31:06,6.33116333,-75.54415333,2.60,1445.846,23.554,8.262,257,18,44,,
T,2023-05-11 01:31:07,6.33113333,-75.54422333,2.60,1445.846,23.554,8.252,253,19,44,,
T,2023-05-11 01:31:08,6.33109667,-75.54429167,2.50,1446.045,23.555,8.268,246,19,44,,
T,2023-05-11 01:31:09,6.33105500,-75.54435167,2.50,1445.945,23.555,7.887,239,18,44,,
T,2023-05-11 01:31:10,6.33100167,-75.54440500,2.60,1445.844,23.556,7.545,235,18,44,,
