type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-03-02 01:28:04,6.24738318,-75.56547806,8.02,1525.470,23.856,0.000,,17,21,20230301-202804,GPS Logger: 20230301-202804 - Fz16 - 1
T,2023-03-02 01:28:05,6.24738555,-75.56547569,7.40,1525.442,23.856,0.000,,17,22,,
T,2023-03-02 01:28:06,6.24739161,-75.56546725,6.85,1524.721,23.855,0.000,,17,23,,
T,2023-03-02 01:28:07,6.24740460,-75.56546278,6.42,1522.474,23.855,0.000,,17,23,,
T,2023-03-02 01:28:08,6.24741399,-75.56544986,6.25,1523.489,23.855,0.240,113,13,24,,
T,2023-03-02 01:28:09,6.24741117,-75.56544223,5.76,1523.785,23.855,0.000,,13,26,,
T,2023-03-02 01:28:10,6.24741199,-75.56544718,5.58,1520.374,23.855,0.000,,13,27,,
T,2023-03-02 01:28:11,6.24741042,-75.56545031,6.01,1517.406,23.855,0.000,,13,27,,
T,2023-03-02 01:28:12,6.24740767,-75.56545254,5.99,1517.491,23.855,0.000,,12,27,,
T,2023-03-02 01:28:13,6.24741264,-75.56544735,6.78,1519.015,23.855,0.000,,13,28,,
T,2023-03-02 01:28:14,6.24743350,-75.56543209,7.09,1521.454,23.855,0.000,,13,29,,
T,2023-03-02 01:28:15,6.24743590,-75.56543211,7.44,1521.857,23.855,0.000,,14,26,,
T,2023-03-02 01:28:16,6.24742409,-75.56544616,7.15,1521.855,23.855,0.000,,16,28,,
T,2023-03-02 01:28:17,6.24741424,-75.56547768,6.57,1520.568,23.856,1.860,295,17,28,,
T,2023-03-02 01:28:18,6.24740479,-75.56550519,6.32,1519.142,23.856,1.010,271,17,27,,
T,2023-03-02 01:28:19,6.24735629,-75.56555528,5.88,1510.684,23.856,1.610,288,17,27,,
T,2023-03-02 01:28:20,6.24735895,-75.56556192,5.86,1509.295,23.856,0.550,300,19,27,,
T,2023-03-02 01:28:21,6.24736661,-75.56557326,6.16,1509.384,23.856,1.450,297,18,27,,
T,2023-03-02 01:28:22,6.24737293,-75.56558465,5.97,1509.028,23.856,1.380,297,16,26,,
T,2023-03-02 01:28:23,6.24737984,-75.56559616,5.22,1508.869,23.856,1.320,297,16,26,,
T,2023-03-02 01:28:24,6.24738548,-75.56561369,4.89,1505.093,23.856,1.680,307,16,26,,
T,2023-03-02 01:28:25,6.24739268,-75.56562499,4.63,1504.810,23.856,1.440,311,16,26,,
T,2023-03-02 01:28:26,6.24739935,-75.56563542,4.44,1504.818,23.856,1.410,313,15,27,,
T,2023-03-02 01:28:27,6.24740192,-75.56564796,4.28,1503.011,23.856,1.320,299,17,28,,
T,2023-03-02 01:28:28,6.24739999,-75.56566286,4.35,1500.966,23.856,1.390,281,16,27,,
T,2023-03-02 01:28:29,6.24739719,-75.56567723,4.36,1500.606,23.857,1.350,273,17,29,,
T,2023-03-02 01:28:30,6.24739693,-75.56568959,4.24,1501.355,23.857,1.290,282,16,29,,
T,2023-03-02 01:28:31,6.24740310,-75.56570030,4.22,1501.155,23.857,1.370,303,16,29,,
T,2023-03-02 01:28:32,6.24741223,-75.56570760,4.26,1501.752,23.857,1.220,309,17,32,,
T,2023-03-02 01:28:33,6.24742024,-75.56571581,4.18,1502.603,23.857,1.090,284,15,32,,
T,2023-03-02 01:28:34,6.24742579,-75.56572745,4.26,1502.893,23.857,1.190,297,19,31,,
T,2023-03-02 01:28:35,6.24743240,-75.56573689,4.15,1501.117,23.857,1.140,311,19,30,,
T,2023-03-02 01:28:36,6.24743789,-75.56573845,3.95,1499.703,23.857,1.030,353,19,31,,
T,2023-03-02 01:28:37,6.24745429,-75.56573797,3.94,1499.123,23.857,1.110,341,20,32,,
T,2023-03-02 01:28:38,6.24746735,-75.56573633,3.94,1498.388,23.857,1.040,358,24,32,,
T,2023-03-02 01:28:39,6.24748287,-75.56573088,3.84,1498.096,23.857,1.100,20,24,32,,
T,2023-03-02 01:28:40,6.24749184,-75.56574374,4.00,1496.882,23.857,1.050,310,24,32,,
T,2023-03-02 01:28:41,6.24748462,-75.56574380,3.82,1496.771,23.857,0.000,,24,32,,
T,2023-03-02 01:28:42,6.24748256,-75.56574333,3.79,1496.769,23.857,0.000,,23,33,,
T,2023-03-02 01:28:43,6.24748213,-75.56574316,3.79,1496.741,23.857,0.000,,23,34,,
T,2023-03-02 01:28:44,6.24748204,-75.56574309,3.79,1496.733,23.857,0.000,,20,33,,
T,2023-03-02 01:28:45,6.24748203,-75.56574306,3.79,1496.731,23.857,0.000,,19,33,,
T,2023-03-02 01:28:46,6.24748205,-75.56574304,3.79,1496.742,23.857,0.000,,19,33,,
T,2023-03-02 01:28:47,6.24748208,-75.56574297,3.79,1496.751,23.857,0.000,,19,33,,
T,2023-03-02 01:28:48,6.24748738,-75.56574020,3.79,1496.249,23.857,0.210,22,19,31,,
T,2023-03-02 01:28:49,6.24748986,-75.56573894,3.79,1496.251,23.857,0.000,,20,34,,
T,2023-03-02 01:28:50,6.24749116,-75.56573836,3.79,1496.277,23.857,0.000,,22,34,,
T,2023-03-02 01:28:51,6.24749161,-75.56573826,3.79,1496.304,23.857,0.000,,22,34,,
T,2023-03-02 01:28:52,6.24749179,-75.56573822,3.79,1496.310,23.857,0.000,,22,34,,
T,2023-03-02 01:28:53,6.24749152,-75.56573586,3.79,1496.154,23.857,0.410,141,21,33,,
T,2023-03-02 01:28:54,6.24749059,-75.56573508,3.79,1495.055,23.857,0.000,,24,33,,
T,2023-03-02 01:28:55,6.24749297,-75.56573654,3.79,1495.041,23.857,0.000,,24,33,,
T,2023-03-02 01:28:56,6.24749638,-75.56573399,3.79,1495.288,23.857,0.410,8,24,33,,
T,2023-03-02 01:28:57,6.24750512,-75.56573044,3.79,1495.667,23.857,0.770,12,24,33,,
T,2023-03-02 01:28:58,6.24751522,-75.56572571,3.79,1495.943,23.857,0.920,22,24,33,,
T,2023-03-02 01:28:59,6.24752702,-75.56571881,3.79,1496.373,23.857,1.100,27,24,33,,
T,2023-03-02 01:29:00,6.24754502,-75.56570948,3.79,1496.955,23.856,1.810,28,20,34,,
T,2023-03-02 01:29:01,6.24756458,-75.56570164,3.79,1496.964,23.856,1.880,20,20,34,,
T,2023-03-02 01:29:02,6.24757910,-75.56569764,3.79,1497.047,23.856,1.230,16,20,34,,
T,2023-03-02 01:29:03,6.24758487,-75.56569734,3.79,1497.737,23.856,0.290,349,20,34,,
T,2023-03-02 01:29:04,6.24758648,-75.56569837,3.79,1497.755,23.856,0.000,,20,33,,
T,2023-03-02 01:29:05,6.24758671,-75.56569858,3.79,1497.753,23.856,0.000,,20,33,,
T,2023-03-02 01:29:06,6.24760299,-75.56568874,3.79,1497.815,23.856,2.240,37,21,33,,
T,2023-03-02 01:29:07,6.24763575,-75.56566845,3.79,1497.721,23.856,4.120,34,21,33,,
T,2023-03-02 01:29:08,6.24767844,-75.56564254,3.79,1497.514,23.856,5.200,34,21,33,,
T,2023-03-02 01:29:09,6.24772269,-75.56561443,3.79,1497.058,23.856,5.380,34,21,33,,
T,2023-03-02 01:29:10,6.24776782,-75.56558564,3.79,1497.063,23.855,5.630,34,21,33,,
T,2023-03-02 01:29:11,6.24785139,-75.56553100,4.06,1500.896,23.855,5.970,34,21,33,,
T,2023-03-02 01:29:12,6.24789868,-75.56550177,3.94,1500.458,23.855,6.110,35,21,31,,
T,2023-03-02 01:29:13,6.24795132,-75.56546334,3.79,1500.140,23.854,7.120,35,21,31,,
T,2023-03-02 01:29:14,6.24800938,-75.56542284,3.79,1500.072,23.854,7.710,36,18,32,,
T,2023-03-02 01:29:15,6.24806957,-75.56538519,3.79,1499.741,23.854,7.780,34,20,32,,
T,2023-03-02 01:29:16,6.24811914,-75.56534885,3.79,1499.519,23.853,7.080,34,21,32,,
T,2023-03-02 01:29:17,6.24816282,-75.56531626,3.79,1499.328,23.853,6.680,32,22,32,,
