type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-10 21:45:16,6.21871003,-75.57969343,15.00,1482.796,23.985,0.539,126,9,11,20230510-164516,GPS Logger: 20230510-164516 - Deatino 8
T,2023-05-10 21:45:17,6.21870437,-75.57970570,15.00,1482.607,23.985,0.644,112,10,13,,
T,2023-05-10 21:45:18,6.21870910,-75.57969537,15.00,1482.852,23.985,0.443,103,11,15,,
T,2023-05-10 21:45:19,6.21871032,-75.57970303,15.00,1484.144,23.985,0.338,103,11,15,,
T,2023-05-10 21:45:20,6.21871478,-75.57969665,15.00,1484.815,23.985,0.292,103,13,16,,
T,2023-05-10 21:45:21,6.21871985,-75.57968603,15.00,1485.340,23.985,0.257,103,14,17,,
T,2023-05-10 21:45:22,6.21873030,-75.57967792,15.00,1487.356,23.985,0.126,103,13,18,,
T,2023-05-10 21:45:23,6.21873908,-75.57966847,15.00,1489.068,23.985,0.059,103,12,18,,
T,2023-05-10 21:45:24,6.21875005,-75.57967200,15.00,1492.501,23.985,0.192,103,15,18,,
T,2023-05-10 21:45:25,6.21875887,-75.57967333,15.00,1494.464,23.985,0.256,103,14,19,,
T,2023-05-10 21:45:26,6.21876482,-75.57967345,15.00,1496.466,23.985,0.317,103,14,19,,
T,2023-05-10 21:45:27,6.21877185,-75.57967183,14.47,1496.853,23.985,0.400,266,14,19,,
T,2023-05-10 21:45:28,6.21877863,-75.57967515,13.91,1497.708,23.985,0.432,265,16,19,,
T,2023-05-10 21:45:29,6.21878492,-75.57968325,13.43,1498.329,23.985,0.432,263,15,19,,
T,2023-05-10 21:45:30,6.21878848,-75.57968722,13.04,1499.146,23.985,0.404,263,13,19,,
T,2023-05-10 21:45:31,6.21879480,-75.57969190,12.68,1499.916,23.985,0.119,263,14,20,,
T,2023-05-10 21:45:32,6.21880043,-75.57969278,12.55,1499.854,23.985,0.000,,13,20,,
T,2023-05-10 21:45:33,6.21880537,-75.57969545,12.42,1500.205,23.985,0.311,263,14,20,,
T,2023-05-10 21:45:34,6.21881033,-75.57969605,12.40,1500.382,23.985,0.000,,14,20,,
T,2023-05-10 21:45:35,6.21881625,-75.57970267,12.22,1501.302,23.985,0.154,263,16,21,,
T,2023-05-10 21:48:25,6.21826428,-75.57973837,15.00,1505.928,23.986,1.091,179,13,15,,
T,2023-05-10 21:48:26,6.21825630,-75.57973568,15.00,1504.281,23.986,1.056,182,13,14,,
T,2023-05-10 21:48:27,6.21824912,-75.57974865,15.00,1505.890,23.986,1.040,183,14,15,,
T,2023-05-10 21:48:28,6.21824183,-75.57975870,14.92,1506.675,23.987,1.021,185,14,15,,
T,2023-05-10 21:48:29,6.21823473,-75.57976287,13.97,1506.488,23.987,1.011,188,15,16,,
T,2023-05-10 21:48:30,6.21822773,-75.57976770,13.29,1506.455,23.987,1.005,189,14,16,,
T,2023-05-10 21:48:31,6.21821790,-75.57976987,12.68,1505.687,23.987,0.996,191,14,16,,
T,2023-05-10 21:48:32,6.21820873,-75.57977397,12.15,1505.601,23.987,0.985,191,13,17,,
T,2023-05-10 21:48:33,6.21820178,-75.57978020,11.73,1506.534,23.987,0.877,213,15,17,,
T,2023-05-10 21:48:34,6.21819297,-75.57978577,11.46,1506.227,23.987,0.954,234,15,17,,
T,2023-05-10 21:48:35,6.21818682,-75.57979803,11.26,1506.637,23.987,1.156,193,14,16,,
T,2023-05-10 21:48:36,6.21817443,-75.57980230,11.07,1506.235,23.987,1.063,178,13,16,,
T,2023-05-10 21:48:37,6.21816425,-75.57980665,10.90,1506.438,23.987,1.336,177,15,17,,
T,2023-05-10 21:48:38,6.21815172,-75.57980987,10.73,1506.596,23.987,1.258,183,15,17,,
T,2023-05-10 21:48:39,6.21813945,-75.57981237,10.58,1506.341,23.987,1.159,180,15,17,,
T,2023-05-10 21:48:40,6.21812940,-75.57981732,10.47,1506.385,23.987,0.721,187,15,17,,
T,2023-05-10 21:48:41,6.21812258,-75.57981985,10.38,1505.877,23.987,0.711,221,15,17,,
T,2023-05-10 21:48:42,6.21811818,-75.57982627,10.26,1504.965,23.987,1.031,195,14,17,,
T,2023-05-10 21:48:43,6.21810887,-75.57983488,10.05,1505.088,23.987,1.272,172,15,17,,
T,2023-05-10 21:48:44,6.21809828,-75.57983815,9.86,1504.866,23.987,0.985,177,15,17,,
T,2023-05-10 21:48:46,6.21808325,-75.57984468,9.51,1503.980,23.987,0.815,180,15,17,,
T,2023-05-10 21:48:48,6.21806712,-75.57985232,9.20,1503.047,23.987,0.823,182,15,17,,
T,2023-05-10 21:48:49,6.21805867,-75.57985338,9.06,1502.396,23.987,0.926,179,15,17,,
T,2023-05-10 21:48:51,6.21804128,-75.57985663,8.84,1501.574,23.987,0.764,192,16,18,,
T,2023-05-10 21:48:52,6.21803290,-75.57985772,8.77,1501.441,23.987,0.834,198,16,18,,
T,2023-05-10 21:48:53,6.21802417,-75.57986325,8.70,1502.216,23.987,1.275,188,16,18,,
T,2023-05-10 21:48:54,6.21801140,-75.57986657,8.65,1502.486,23.988,1.143,173,16,18,,
T,2023-05-10 21:48:55,6.21800070,-75.57986547,8.60,1502.388,23.988,0.746,186,15,18,,
T,2023-05-10 21:48:56,6.21799238,-75.57986768,8.55,1502.744,23.988,0.895,187,15,18,,
T,2023-05-10 21:48:57,6.21798243,-75.57987100,8.51,1503.048,23.988,0.865,183,16,18,,
T,2023-05-10 21:48:58,6.21797232,-75.57987100,8.47,1502.927,23.988,0.912,178,15,18,,
T,2023-05-10 21:48:59,6.21796273,-75.57986990,8.46,1502.842,23.988,0.801,199,14,18,,
T,2023-05-10 21:49:00,6.21795448,-75.57987432,8.44,1503.136,23.988,1.019,199,15,19,,
T,2023-05-10 21:49:01,6.21794485,-75.57987318,8.41,1502.533,23.988,1.032,191,16,19,,
T,2023-05-10 21:49:02,6.21793533,-75.57987428,8.39,1502.387,23.988,1.012,175,16,20,,
T,2023-05-10 21:49:03,6.21792577,-75.57987318,8.36,1502.303,23.988,0.889,180,14,20,,
T,2023-05-10 21:49:04,6.21791787,-75.57987210,8.33,1502.239,23.988,0.927,188,15,19,,
T,2023-05-10 21:49:05,6.21790953,-75.57987322,8.26,1502.626,23.988,0.970,209,15,19,,
T,2023-05-10 21:49:06,6.21790182,-75.57987653,8.21,1502.957,23.988,0.962,204,15,19,,
T,2023-05-10 21:49:07,6.21789242,-75.57987983,8.16,1503.268,23.988,0.912,189,15,19,,
T,2023-05-10 21:49:08,6.21788295,-75.57988097,8.14,1503.642,23.988,0.862,173,15,19,,
T,2023-05-10 21:49:09,6.21787398,-75.57987990,8.15,1504.083,23.988,0.602,198,16,19,,
T,2023-05-10 21:49:10,6.21786783,-75.57988100,8.19,1503.978,23.988,0.712,183,15,19,,
T,2023-05-10 21:49:11,6.21785985,-75.57987878,8.24,1503.426,23.988,0.888,178,14,20,,
T,2023-05-10 21:49:12,6.21785052,-75.57988212,8.17,1504.256,23.988,0.872,181,16,19,,
T,2023-05-10 21:49:13,6.21784108,-75.57988433,8.14,1504.598,23.988,1.125,192,16,19,,
T,2023-05-10 21:49:14,6.21783012,-75.57988987,8.17,1505.346,23.988,1.212,186,15,19,,
T,2023-05-10 21:49:15,6.21781732,-75.57989208,8.22,1505.648,23.988,1.277,178,16,19,,
T,2023-05-10 21:49:16,6.21780448,-75.57989322,8.28,1505.980,23.988,1.313,173,16,19,,
T,2023-05-10 21:49:17,6.21779162,-75.57989325,8.42,1506.344,23.988,0.999,171,14,19,,
T,2023-05-10 21:49:18,6.21778203,-75.57989215,8.53,1506.260,23.988,0.797,166,15,19,,
T,2023-05-10 21:49:19,6.21777537,-75.57989218,8.63,1506.698,23.988,0.828,161,16,19,,
T,2023-05-10 21:49:20,6.21776912,-75.57989000,8.72,1506.685,23.988,0.904,151,15,19,,
T,2023-05-10 21:49:21,6.21776235,-75.57988675,8.76,1507.216,23.988,0.815,153,16,19,,
T,2023-05-10 21:49:22,6.21775670,-75.57988350,8.88,1507.760,23.988,1.204,161,16,19,,
T,2023-05-10 21:49:23,6.21774712,-75.57988240,9.14,1507.676,23.988,1.032,160,13,19,,
T,2023-05-10 21:49:24,6.21773972,-75.57987912,9.51,1507.681,23.988,1.409,161,14,19,,
T,2023-05-10 21:49:25,6.21772768,-75.57987253,10.33,1507.205,23.988,1.179,164,15,18,,
T,2023-05-10 21:49:26,6.21771783,-75.57986160,11.11,1507.399,23.988,1.328,171,11,17,,
T,2023-05-10 21:49:27,6.21770522,-75.57985068,11.36,1508.079,23.988,1.691,173,12,18,,
T,2023-05-10 21:49:28,6.21768773,-75.57984418,11.87,1509.093,23.988,1.941,164,12,18,,
T,2023-05-10 21:49:29,6.21767010,-75.57983438,12.56,1509.681,23.988,2.109,175,10,16,,
T,2023-05-10 21:49:30,6.21765265,-75.57982897,12.71,1510.664,23.988,1.901,171,11,16,,
T,2023-05-10 21:49:31,6.21764077,-75.57982138,12.80,1511.777,23.988,1.563,171,11,16,,
T,2023-05-10 21:49:32,6.21763118,-75.57981813,13.03,1512.274,23.988,1.125,168,13,16,,
T,2023-05-10 21:49:33,6.21762207,-75.57981375,13.57,1512.289,23.988,0.819,157,11,15,,
T,2023-05-10 21:49:34,6.21762142,-75.57981047,13.70,1512.375,23.988,0.666,125,10,15,,
T,2023-05-10 21:49:35,6.21762325,-75.57980163,14.11,1511.092,23.988,0.856,113,12,16,,
T,2023-05-10 21:49:36,6.21762718,-75.57978948,14.57,1509.411,23.988,0.777,97,12,16,,
T,2023-05-10 21:49:37,6.21762773,-75.57977732,15.00,1507.689,23.988,0.340,97,12,15,,
T,2023-05-10 21:49:38,6.21764293,-75.57976625,15.00,1506.111,23.988,0.158,97,12,16,,
T,2023-05-10 21:49:39,6.21764550,-75.57976182,15.00,1505.230,23.988,0.367,97,13,15,,
T,2023-05-10 21:49:40,6.21764695,-75.57975738,15.00,1504.336,23.988,0.132,97,12,16,,
T,2023-05-10 21:49:41,6.21765275,-75.57975178,15.00,1502.489,23.988,0.107,97,12,16,,
T,2023-05-10 21:49:42,6.21767628,-75.57974745,15.00,1503.416,23.988,0.612,21,13,16,,
T,2023-05-10 21:49:43,6.21768935,-75.57973860,15.00,1502.268,23.988,1.040,16,13,16,,
T,2023-05-10 21:49:44,6.21769848,-75.57973407,15.00,1499.913,23.987,0.587,4,11,16,,
T,2023-05-10 21:49:45,6.21770343,-75.57973185,15.00,1499.516,23.987,0.318,4,13,16,,
T,2023-05-10 21:49:46,6.21770735,-75.57972970,15.00,1500.145,23.987,0.724,329,13,16,,
T,2023-05-10 21:49:47,6.21771075,-75.57972863,15.00,1500.735,23.987,0.566,306,13,16,,
T,2023-05-10 21:49:48,6.21772532,-75.57972538,15.00,1501.523,23.987,0.471,348,11,16,,
T,2023-05-10 21:49:49,6.21773690,-75.57971988,15.00,1501.301,23.987,0.166,348,12,16,,
T,2023-05-10 21:49:50,6.21773892,-75.57971330,15.00,1500.995,23.987,0.095,348,11,16,,
T,2023-05-10 21:49:51,6.21773932,-75.57970783,15.00,1501.156,23.987,0.071,348,11,16,,
T,2023-05-10 21:49:52,6.21774038,-75.57970563,15.00,1501.232,23.987,0.168,348,10,16,,
T,2023-05-10 21:49:53,6.21774257,-75.57970345,15.00,1501.321,23.987,0.184,348,12,16,,
T,2023-05-10 21:49:54,6.21774592,-75.57970235,15.00,1501.392,23.987,0.598,273,12,15,,
T,2023-05-10 21:51:11,6.21810823,-75.57970848,13.45,1588.491,23.987,3.138,87,6,7,,
T,2023-05-10 21:51:12,6.21882158,-75.57946677,4.17,1648.386,23.984,2.933,187,6,7,,
T,2023-05-10 21:51:16,6.21850788,-75.57983847,3.22,1621.060,23.986,4.233,121,6,8,,
T,2023-05-10 21:51:17,6.21849152,-75.57976292,3.15,1642.335,23.986,1.870,57,7,8,,
T,2023-05-10 21:51:18,6.21829752,-75.57975412,3.15,1606.797,23.986,2.536,143,6,9,,
T,2023-05-10 21:51:19,6.21814948,-75.57993553,2.46,1599.892,23.988,0.411,117,8,12,,
T,2023-05-10 21:51:20,6.21781680,-75.57999755,2.37,1520.052,23.989,0.621,170,9,14,,
T,2023-05-10 21:51:21,6.21748010,-75.58021823,0.84,1467.779,23.990,0.688,259,13,14,,
T,2023-05-10 21:51:22,6.21747105,-75.58021457,15.00,1472.468,23.990,0.769,286,13,14,,
T,2023-05-10 22:45:33,6.21590938,-75.58327780,1.51,1498.495,24.009,2.670,277,6,8,,
T,2023-05-10 22:45:34,6.21590132,-75.58326993,1.51,1503.956,24.009,2.636,280,6,8,,
T,2023-05-10 22:45:35,6.21591438,-75.58323190,1.51,1505.699,24.009,5.310,102,6,8,,
T,2023-05-10 22:45:36,6.21588730,-75.58318740,1.51,1502.574,24.009,4.394,110,6,8,,
T,2023-05-10 22:45:37,6.21587408,-75.58318712,2.08,1499.804,24.009,2.055,266,6,9,,
T,2023-05-10 22:45:38,6.21585683,-75.58323053,1.56,1501.351,24.009,2.368,270,7,10,,
T,2023-05-10 22:45:39,6.21587055,-75.58328743,15.00,1506.048,24.010,1.832,287,8,10,,
T,2023-05-10 22:45:40,6.21587577,-75.58330663,15.00,1507.502,24.010,1.180,304,7,10,,
T,2023-05-10 22:45:41,6.21588168,-75.58330313,15.00,1508.374,24.010,0.834,318,7,10,,
T,2023-05-10 22:45:42,6.21588975,-75.58330675,15.00,1509.947,24.010,0.855,326,8,10,,
T,2023-05-10 22:45:43,6.21589548,-75.58330422,15.00,1510.494,24.010,0.926,302,7,10,,
T,2023-05-10 22:45:44,6.21589370,-75.58330400,15.00,1510.321,24.010,0.587,279,8,10,,
T,2023-05-10 22:45:45,6.21588782,-75.58328687,15.00,1510.820,24.009,0.686,282,7,10,,
T,2023-05-10 22:45:46,6.21588125,-75.58326638,15.00,1512.658,24.009,0.422,318,8,10,,
T,2023-05-10 22:45:47,6.21588390,-75.58325213,15.00,1511.205,24.009,0.173,318,8,10,,
T,2023-05-10 22:45:48,6.21588003,-75.58323050,15.00,1512.035,24.009,0.083,318,8,10,,
T,2023-05-10 22:45:49,6.21587947,-75.58322687,15.00,1512.506,24.009,0.868,261,7,10,,
T,2023-05-10 22:45:50,6.21587785,-75.58323195,15.00,1512.991,24.009,1.119,257,8,10,,
T,2023-05-10 22:45:51,6.21587567,-75.58325393,15.00,1513.220,24.009,0.673,249,7,10,,
T,2023-05-10 22:45:52,6.21587183,-75.58325722,15.00,1513.080,24.009,0.228,249,8,10,,
T,2023-05-10 22:45:53,6.21587527,-75.58326372,15.00,1511.897,24.009,0.228,249,8,10,,
T,2023-05-10 22:45:55,6.21588465,-75.58326578,15.00,1509.873,24.009,0.329,249,9,11,,
T,2023-05-10 22:45:56,6.21588363,-75.58325368,15.00,1509.168,24.009,0.280,249,8,11,,
T,2023-05-10 22:45:57,6.21588477,-75.58325368,15.00,1509.182,24.009,0.249,249,9,11,,
T,2023-05-10 22:45:58,6.21588290,-75.58324928,15.00,1508.766,24.009,0.156,249,8,11,,
T,2023-05-10 22:45:59,6.21588507,-75.58325032,15.00,1507.724,24.009,0.251,249,9,11,,
T,2023-05-10 22:46:00,6.21588827,-75.58325022,15.00,1506.208,24.009,0.207,249,9,11,,
T,2023-05-10 22:46:01,6.21588992,-75.58325128,15.00,1505.678,24.009,0.316,249,8,10,,
T,2023-05-10 22:46:02,6.21588797,-75.58324575,15.00,1504.774,24.009,0.421,258,9,11,,
T,2023-05-10 22:46:03,6.21588338,-75.58324463,15.00,1504.232,24.009,0.801,238,10,13,,
T,2023-05-10 22:46:04,6.21587718,-75.58324570,15.00,1503.607,24.009,0.557,192,11,13,,
T,2023-05-10 22:46:05,6.21586985,-75.58324460,15.00,1503.550,24.009,0.536,161,10,13,,
T,2023-05-10 22:46:06,6.21586363,-75.58324135,15.00,1504.088,24.009,0.151,161,10,13,,
T,2023-05-10 22:46:07,6.21586038,-75.58324142,15.00,1505.085,24.009,0.439,351,11,13,,
T,2023-05-10 22:46:08,6.21586062,-75.58324128,15.00,1505.130,24.009,0.725,337,11,13,,
T,2023-05-10 22:46:09,6.21586070,-75.58324913,15.00,1505.907,24.009,0.698,339,11,13,,
T,2023-05-10 22:46:10,6.21586600,-75.58325572,15.00,1506.301,24.009,0.751,330,10,13,,
T,2023-05-10 22:46:11,6.21587533,-75.58326775,15.00,1506.069,24.009,0.706,325,8,13,,
T,2023-05-10 22:46:12,6.21587947,-75.58327540,15.00,1505.900,24.009,0.525,317,10,13,,
T,2023-05-10 22:46:13,6.21588075,-75.58328087,15.00,1505.759,24.009,0.419,311,9,13,,
T,2023-05-10 22:46:14,6.21588490,-75.58329068,15.00,1505.008,24.010,0.190,311,10,13,,
T,2023-05-10 22:46:15,6.21588547,-75.58329285,15.00,1504.433,24.010,0.147,311,8,13,,
T,2023-05-10 22:46:17,6.21588530,-75.58330922,15.00,1503.443,24.010,0.515,291,11,12,,
T,2023-05-10 22:46:18,6.21588660,-75.58331793,15.00,1502.690,24.010,0.667,309,9,12,,
T,2023-05-10 22:47:35,6.21578222,-75.58333070,15.00,1513.381,24.010,1.849,272,9,12,,
T,2023-05-10 22:47:36,6.21578253,-75.58333067,15.00,1515.171,24.010,1.819,279,10,13,,
T,2023-05-10 22:47:37,6.21578835,-75.58334367,15.00,1517.711,24.010,1.861,273,11,13,,
T,2023-05-10 22:47:38,6.21579217,-75.58334443,15.00,1517.358,24.010,2.040,274,10,13,,
T,2023-05-10 22:47:39,6.21579460,-75.58335958,15.00,1519.769,24.010,2.076,274,10,13,,
T,2023-05-10 22:47:40,6.21579448,-75.58337283,15.00,1522.279,24.010,2.046,269,10,13,,
T,2023-05-10 22:47:41,6.21579020,-75.58336592,15.00,1521.648,24.010,1.840,271,10,13,,
T,2023-05-10 22:47:42,6.21579125,-75.58337675,15.00,1524.029,24.010,1.772,273,10,15,,
T,2023-05-10 22:47:43,6.21578837,-75.58336475,15.00,1522.636,24.010,1.514,270,13,14,,
T,2023-05-10 22:47:44,6.21578885,-75.58336740,15.00,1523.876,24.010,1.346,263,13,14,,
T,2023-05-10 22:47:45,6.21579023,-75.58335653,15.00,1521.892,24.010,1.170,261,13,14,,
T,2023-05-10 22:47:46,6.21578637,-75.58335557,15.00,1523.023,24.010,1.154,266,13,15,,
T,2023-05-10 22:47:47,6.21578412,-75.58334165,14.78,1520.827,24.010,1.107,269,15,16,,
T,2023-05-10 22:47:48,6.21578453,-75.58332917,14.11,1518.347,24.010,1.192,272,15,16,,
T,2023-05-10 22:47:49,6.21578605,-75.58331802,13.46,1515.908,24.010,1.136,276,15,16,,
T,2023-05-10 22:47:50,6.21578583,-75.58330732,12.90,1513.920,24.010,1.033,280,15,16,,
T,2023-05-10 22:47:51,6.21578498,-75.58329822,12.49,1512.279,24.010,1.174,278,15,16,,
T,2023-05-10 22:47:52,6.21578638,-75.58330045,12.17,1512.036,24.010,0.988,281,15,16,,
T,2023-05-10 22:47:53,6.21578888,-75.58329993,11.87,1511.895,24.010,0.999,277,13,16,,
T,2023-05-10 22:47:54,6.21578847,-75.58329108,11.61,1510.585,24.010,0.739,290,14,16,,
T,2023-05-10 22:47:56,6.21578607,-75.58328347,11.09,1511.294,24.010,1.168,257,14,17,,
T,2023-05-10 22:47:57,6.21578343,-75.58328787,10.88,1511.656,24.010,0.122,257,14,16,,
T,2023-05-10 22:47:58,6.21578290,-75.58328680,10.71,1512.199,24.010,0.415,95,15,17,,
T,2023-05-10 22:48:00,6.21578497,-75.58328240,10.48,1511.831,24.010,0.025,95,15,17,,
T,2023-05-10 22:48:02,6.21578470,-75.58327687,10.16,1510.947,24.010,0.000,,15,17,,
T,2023-05-10 22:48:03,6.21578483,-75.58327683,10.09,1510.983,24.010,0.000,,15,17,,
T,2023-05-10 22:48:04,6.21578483,-75.58327683,10.05,1510.983,24.010,0.000,,14,17,,
T,2023-05-10 22:48:05,6.21578483,-75.58327683,10.03,1510.983,24.010,0.000,,14,18,,
T,2023-05-10 22:48:06,6.21578483,-75.58327683,9.95,1510.983,24.010,0.000,,14,18,,
T,2023-05-10 22:48:07,6.21578483,-75.58327683,9.86,1510.983,24.010,0.144,95,15,18,,
T,2023-05-10 22:48:08,6.21578483,-75.58327683,9.71,1510.983,24.010,0.116,95,15,18,,
T,2023-05-10 22:48:09,6.21578483,-75.58327683,9.56,1510.983,24.010,0.000,,16,18,,
T,2023-05-10 22:48:10,6.21578483,-75.58327683,9.45,1510.983,24.010,0.293,95,16,18,,
T,2023-05-10 22:48:11,6.21578483,-75.58327683,9.39,1510.983,24.010,0.000,,16,18,,
T,2023-05-10 22:48:12,6.21578483,-75.58327683,9.30,1510.983,24.010,0.047,95,16,18,,
T,2023-05-10 22:48:13,6.21578483,-75.58327683,9.24,1510.983,24.010,0.000,,17,18,,
T,2023-05-10 22:48:14,6.21578483,-75.58327683,9.15,1510.983,24.010,0.186,95,16,18,,
T,2023-05-10 22:48:15,6.21578483,-75.58327683,9.08,1510.983,24.010,0.111,95,17,18,,
T,2023-05-10 22:48:16,6.21578483,-75.58327683,9.01,1510.983,24.010,0.000,,17,18,,
T,2023-05-10 22:48:17,6.21578483,-75.58327683,8.93,1510.983,24.010,0.000,,17,18,,
T,2023-05-10 22:48:18,6.21578483,-75.58327683,8.87,1510.983,24.010,0.000,,17,18,,
T,2023-05-10 22:48:19,6.21578483,-75.58327683,8.83,1510.983,24.010,0.091,95,16,18,,
T,2023-05-10 22:48:20,6.21578483,-75.58327683,8.79,1510.983,24.010,0.029,95,16,18,,
T,2023-05-10 22:48:21,6.21578483,-75.58327683,8.77,1510.983,24.010,0.000,,17,18,,
T,2023-05-10 22:48:22,6.21578483,-75.58327683,8.73,1510.983,24.010,0.000,,16,18,,
T,2023-05-10 22:48:23,6.21578483,-75.58327683,8.70,1510.983,24.010,0.000,,16,18,,
T,2023-05-10 22:48:24,6.21578483,-75.58327683,8.66,1510.983,24.010,0.000,,16,18,,
T,2023-05-10 22:48:25,6.21578483,-75.58327683,8.64,1510.983,24.010,0.000,,14,18,,
T,2023-05-10 22:48:26,6.21578483,-75.58327683,8.62,1510.983,24.010,0.000,,14,18,,
T,2023-05-10 22:48:28,6.21578483,-75.58327683,8.59,1510.983,24.010,0.268,95,15,18,,
T,2023-05-10 22:48:29,6.21578483,-75.58327683,8.60,1510.983,24.010,0.269,95,13,15,,
T,2023-05-10 22:48:30,6.21578483,-75.58327683,8.63,1510.983,24.010,0.164,95,14,15,,
T,2023-05-10 22:48:31,6.21578483,-75.58327683,8.65,1510.983,24.010,0.405,82,14,16,,
T,2023-05-10 22:48:32,6.21578483,-75.58327683,8.65,1510.983,24.010,0.000,,14,15,,
T,2023-05-10 22:48:33,6.21578483,-75.58327683,8.53,1510.983,24.010,0.000,,14,15,,
T,2023-05-10 22:48:34,6.21578483,-75.58327683,8.36,1510.983,24.010,0.239,82,15,16,,
T,2023-05-10 22:48:35,6.21578483,-75.58327683,8.19,1510.983,24.010,0.000,,14,15,,
T,2023-05-10 22:48:36,6.21578483,-75.58327683,8.06,1510.983,24.010,0.170,82,13,15,,
T,2023-05-10 22:48:37,6.21578483,-75.58327683,7.92,1510.983,24.010,0.022,82,15,16,,
T,2023-05-10 22:48:38,6.21578483,-75.58327683,7.81,1510.983,24.010,0.058,82,13,15,,
T,2023-05-10 22:48:39,6.21578483,-75.58327683,7.69,1510.983,24.010,0.000,,14,15,,
T,2023-05-10 22:48:40,6.21578483,-75.58327683,7.59,1510.983,24.010,0.121,82,14,16,,
T,2023-05-10 22:48:41,6.21578483,-75.58327683,7.49,1510.983,24.010,0.099,82,13,15,,
T,2023-05-10 22:48:42,6.21578483,-75.58327683,7.44,1510.983,24.010,0.241,82,14,15,,
T,2023-05-10 22:48:43,6.21578483,-75.58327683,7.43,1510.983,24.010,0.340,82,13,15,,
T,2023-05-10 22:48:44,6.21578483,-75.58327683,7.40,1510.983,24.010,0.099,82,14,15,,
T,2023-05-10 22:48:45,6.21578483,-75.58327683,7.34,1510.983,24.010,0.224,82,14,15,,
T,2023-05-10 22:48:46,6.21578483,-75.58327683,7.30,1510.983,24.010,0.092,82,15,15,,
T,2023-05-10 22:48:47,6.21578483,-75.58327683,7.29,1510.983,24.010,0.118,82,14,15,,
T,2023-05-10 22:48:48,6.21578483,-75.58327683,7.25,1510.983,24.010,0.113,82,15,15,,
T,2023-05-10 22:48:49,6.21578483,-75.58327683,7.20,1510.983,24.010,0.280,82,15,15,,
T,2023-05-10 22:48:50,6.21578483,-75.58327683,7.11,1510.983,24.010,0.285,82,12,15,,
T,2023-05-10 22:48:51,6.21578483,-75.58327683,7.04,1510.983,24.010,0.325,82,13,15,,
T,2023-05-10 22:48:52,6.21578483,-75.58327683,6.98,1510.983,24.010,0.129,82,14,15,,
T,2023-05-10 22:48:53,6.21578483,-75.58327683,6.94,1510.983,24.010,0.252,82,13,15,,
T,2023-05-10 22:48:54,6.21578483,-75.58327683,6.90,1510.983,24.010,0.000,,13,15,,
T,2023-05-10 22:48:55,6.21578483,-75.58327683,6.87,1510.983,24.010,0.000,,13,15,,
T,2023-05-10 22:48:56,6.21578483,-75.58327683,6.83,1510.983,24.010,0.237,82,13,15,,
T,2023-05-10 22:48:57,6.21578483,-75.58327683,6.78,1510.983,24.010,0.070,82,13,15,,
T,2023-05-10 22:48:58,6.21578483,-75.58327683,6.70,1510.983,24.010,0.000,,13,15,,
T,2023-05-10 22:48:59,6.21578483,-75.58327683,6.63,1510.983,24.010,0.242,82,13,15,,
T,2023-05-10 22:49:00,6.21578483,-75.58327683,6.61,1510.983,24.010,0.000,,13,15,,
T,2023-05-10 22:49:01,6.21578483,-75.58327683,6.62,1510.983,24.010,0.214,82,13,15,,
T,2023-05-10 22:49:02,6.21578483,-75.58327683,6.63,1510.983,24.010,0.177,82,13,15,,
T,2023-05-10 22:49:03,6.21578483,-75.58327683,6.64,1510.983,24.010,0.331,82,13,15,,
T,2023-05-10 22:49:04,6.21578483,-75.58327683,6.66,1510.983,24.010,0.000,,13,16,,
T,2023-05-10 22:49:05,6.21578483,-75.58327683,6.69,1510.983,24.010,0.502,96,13,15,,
T,2023-05-10 22:49:06,6.21578483,-75.58327683,6.71,1510.983,24.010,0.162,96,13,15,,
T,2023-05-10 22:49:07,6.21578483,-75.58327683,6.78,1510.983,24.010,0.199,96,13,15,,
T,2023-05-10 22:49:08,6.21578483,-75.58327683,6.81,1510.983,24.010,0.185,96,13,15,,
T,2023-05-10 22:49:09,6.21578483,-75.58327683,6.83,1510.983,24.010,0.178,96,13,16,,
T,2023-05-10 22:49:10,6.21578483,-75.58327683,6.83,1510.983,24.010,0.225,96,13,15,,
T,2023-05-10 22:49:11,6.21578483,-75.58327683,6.80,1510.983,24.010,0.000,,14,15,,
T,2023-05-10 22:49:12,6.21578483,-75.58327683,6.76,1510.983,24.010,0.721,98,14,15,,
T,2023-05-10 22:49:13,6.21578483,-75.58327683,6.78,1510.983,24.010,0.430,91,13,16,,
T,2023-05-10 22:49:14,6.21578483,-75.58327683,6.84,1510.983,24.010,0.122,91,13,15,,
T,2023-05-10 22:49:15,6.21578483,-75.58327683,6.90,1510.983,24.010,0.135,91,13,14,,
T,2023-05-10 22:49:16,6.21578483,-75.58327683,6.95,1510.983,24.010,0.100,91,13,15,,
T,2023-05-10 22:49:17,6.21578483,-75.58327683,6.97,1510.983,24.010,0.313,91,12,15,,
T,2023-05-10 22:49:18,6.21578483,-75.58327683,7.01,1510.983,24.010,0.268,91,12,14,,
T,2023-05-10 22:49:19,6.21578483,-75.58327683,7.06,1510.983,24.010,0.000,,13,15,,
T,2023-05-10 22:49:20,6.21578483,-75.58327683,7.19,1510.983,24.010,0.273,91,13,14,,
